Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.003428729999995994,5.0,100.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
1,0.03904652200003511,15.0,202.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
2,0.0681770010000946,15.0,303.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
3,0.09739799199996924,15.0,404.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
4,0.12385362600002736,22.0,506.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
5,0.15219208899998193,22.0,607.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
6,0.17968179700005749,26.0,709.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
7,0.20461837000016203,26.0,810.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
8,0.23054908200015234,26.0,911.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
9,0.26123953000001165,26.0,1012.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
10,0.2889717320001637,26.0,1113.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
11,0.3185357350000686,26.0,1214.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
12,0.3644961229999808,26.0,1315.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
13,0.40938613699995585,26.0,1416.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
14,0.4489811920000193,26.0,1517.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
15,0.49018246300011015,26.0,1618.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
16,0.5280692300000283,26.0,1719.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
17,0.5656375539999772,26.0,1820.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
18,0.6029456559999744,26.0,1921.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
19,0.6405348890000369,26.0,2022.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
20,0.6780049569999846,26.0,2123.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
21,0.7159625880001386,26.0,2224.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
22,0.7540652520001458,26.0,2325.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
23,0.775677294000161,26.0,2426.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
24,0.8122227450000992,26.0,2527.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
25,0.8496099870001217,26.0,2628.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
26,0.8859849950001717,26.0,2729.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
27,0.9226446420000229,26.0,2830.0,True,100,0.25,1000000,0,0,100,1000000,100,100,0.25
