Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.013852985000085027,11.0,100.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
1,0.6499221499998384,18.0,202.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
2,1.2296158469998772,18.0,303.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
3,1.6872986109997328,18.0,404.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
4,2.1309101490001012,19.0,506.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
5,2.592321917999925,19.0,607.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
6,3.0203946749998067,19.0,708.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
7,3.4013400369999545,19.0,809.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
8,3.825032577999991,19.0,910.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
9,4.324958716999845,19.0,1011.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
10,4.749627521000093,19.0,1112.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
11,5.127243964000172,20.0,1214.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
12,5.4858669079999345,20.0,1315.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
13,5.850515547999748,26.0,1417.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
14,6.21590752200018,27.0,1519.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
15,6.907896469999741,27.0,1620.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
16,7.902450672999748,28.0,1722.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
17,8.775336370999867,28.0,1823.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
18,9.649414690999947,29.0,1925.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
19,10.400823273999777,29.0,2026.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
20,11.216586580999774,29.0,2127.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
21,12.22512791600002,29.0,2228.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
22,13.170544009999958,29.0,2329.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
23,14.02062966199992,29.0,2430.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
24,14.285641812999984,29.0,2531.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
25,14.618800630999885,29.0,2632.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
26,15.648765008999817,29.0,2733.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
27,16.53088809200017,29.0,2834.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
28,17.569250194999768,29.0,2935.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
29,18.495437751999816,29.0,3036.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
30,19.38178505199994,29.0,3137.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
31,20.478311507999933,29.0,3238.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
32,21.433518882000044,29.0,3339.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
33,22.265159726000093,29.0,3440.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
34,22.95181787699994,29.0,3541.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
35,23.848171799999818,29.0,3642.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
36,24.760157846999846,29.0,3743.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
37,25.66808528499996,29.0,3844.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
38,26.464270985999974,29.0,3945.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
39,27.199982726000144,29.0,4046.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
40,28.181294123000043,29.0,4147.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
41,29.02621428099974,29.0,4248.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
42,29.82815536299995,29.0,4349.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
43,30.536729987999934,29.0,4450.0,True,100,0.25,10000,0,0,500,10000.0,100,100,0.25
