Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.0012219589999999947,245.0,0.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
1,0.10946741699999984,283.0,2.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
2,0.2037452089999996,300.0,4.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
3,0.2979681249999997,300.0,5.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
4,0.38922816699999974,303.0,7.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
5,0.4877721249999998,309.0,9.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
6,0.5659317919999998,311.0,11.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
7,0.6711001669999996,311.0,12.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
8,0.7722251249999998,311.0,13.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
9,1.0625614589999999,311.0,14.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
10,1.3446983339999998,311.0,15.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
11,1.6129450839999997,311.0,16.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
12,1.890669709,311.0,17.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
13,2.1734862919999998,311.0,18.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
14,2.4698495419999995,311.0,19.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
15,2.7501972499999994,311.0,20.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
16,3.044725209,311.0,21.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
17,3.3300498749999994,311.0,22.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
18,3.62510625,311.0,23.0,True,100,0.1,1000000000,0,0,500,1000000000.0,50,100,0.1
