Iteration,Time,Fitness,FEvals,Temperature,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,start_temperature,decay_type
0,9.404199999996088e-05,1298.551899183571,0.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
1,0.003723624999999897,1243.188146679477,2.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
2,0.004214582999999994,1243.188146679477,3.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
3,0.0042581250000000015,1211.0061563616348,5.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
4,0.004293332999999899,1130.5669810495403,7.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
5,0.004329916999999961,1120.0490270360037,9.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
6,0.004363624999999871,1107.7640725130161,11.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
7,0.004388541999999829,1107.7640725130161,12.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
8,0.004412541999999853,1107.7640725130161,13.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
9,0.004437083000000008,1107.7640725130161,14.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
10,0.004465041999999864,1107.7640725130161,15.0,1.0,10,0,0,10,10,1000,1.0,GeomDecay
0,7.195900000001032e-05,1068.1483700349288,0.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
1,0.0023572919999999,1068.1483700349288,1.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
2,0.0023912090000000052,1068.1483700349288,2.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
3,0.002430417000000018,1055.8602311882357,4.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
4,0.0024558750000001073,1055.8602311882357,5.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
5,0.002490416999999967,997.9724860360994,7.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
6,0.0025142920000000846,997.9724860360994,8.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
7,0.0025380420000000736,997.9724860360994,9.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
8,0.0025716250000000773,989.8755150460156,11.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
9,0.002596124999999949,989.8755150460156,12.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
10,0.0026301250000000387,955.5712369845377,14.0,1.0,10,0,1,10,10,1000,1.0,GeomDecay
0,6.279200000003371e-05,1400.9252885718133,0.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
1,0.001963249999999972,1400.9252885718133,1.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
2,0.0019980419999998666,1400.9252885718133,2.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
3,0.0020254589999999517,1400.9252885718133,3.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
4,0.002062333999999888,1394.2715906691442,5.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
5,0.002096958999999954,1230.8099168713418,7.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
6,0.002120708999999943,1230.8099168713418,8.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
7,0.002153834000000021,1203.1158340922898,10.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
8,0.002177125000000002,1203.1158340922898,11.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
9,0.0022012089999998707,1203.1158340922898,12.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
10,0.0022345419999998395,1189.4767773141684,14.0,1.0,10,0,2,10,10,1000,1.0,GeomDecay
0,7.416699999995835e-05,1298.551899183571,0.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
1,0.0033931670000000302,1243.188146679477,2.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
2,0.0034307089999998652,1243.188146679477,3.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
3,0.0034684999999998745,1211.0061563616348,5.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
4,0.0035037499999999167,1130.5669810495403,7.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
5,0.003537917000000057,1120.0490270360037,9.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
6,0.0035711249999998973,1107.7640725130161,11.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
7,0.0035953749999999562,1107.7640725130161,12.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
8,0.003619542000000031,1107.7640725130161,13.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
9,0.0036435839999999775,1107.7640725130161,14.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
10,0.0036673750000000283,1107.7640725130161,15.0,10.0,10,1,3,10,10,1000,10.0,GeomDecay
0,5.479200000002571e-05,1068.1483700349288,0.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
1,0.00227949999999999,1068.1483700349288,1.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
2,0.002317125000000031,1068.1483700349288,2.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
3,0.0023578749999999538,1055.8602311882357,4.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
4,0.00238341700000011,1055.8602311882357,5.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
5,0.0024180419999999536,997.9724860360994,7.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
6,0.002441917000000071,997.9724860360994,8.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
7,0.0024656670000000602,997.9724860360994,9.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
8,0.002499000000000029,989.8755150460156,11.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
9,0.002523333000000072,989.8755150460156,12.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
10,0.0025573329999999395,955.5712369845377,14.0,10.0,10,1,4,10,10,1000,10.0,GeomDecay
0,5.729100000007037e-05,1400.9252885718133,0.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
1,0.002392125000000078,1400.9252885718133,1.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
2,0.0024272910000000536,1400.9252885718133,2.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
3,0.002454750000000061,1400.9252885718133,3.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
4,0.002490749999999986,1394.2715906691442,5.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
5,0.0025249999999998884,1230.8099168713418,7.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
6,0.0025492499999999474,1230.8099168713418,8.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
7,0.0026597500000000718,1203.1158340922898,10.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
8,0.0027330830000000805,1203.1158340922898,11.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
9,0.002781790999999867,1204.8638260385546,13.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
10,0.002820124999999951,1164.249268137045,15.0,10.0,10,1,5,10,10,1000,10.0,GeomDecay
0,9.04160000001486e-05,1298.551899183571,0.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
1,0.0025882080000001473,1243.188146679477,2.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
2,0.0026211660000001746,1243.188146679477,3.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
3,0.0026559999999999917,1211.0061563616348,5.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
4,0.002689291000000038,1130.5669810495403,7.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
5,0.0027220830000000973,1120.0490270360037,9.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
6,0.0027545410000000548,1107.7640725130161,11.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
7,0.0027782080000000597,1107.7640725130161,12.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
8,0.002801790999999998,1107.7640725130161,13.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
9,0.002824958000000155,1107.7640725130161,14.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
10,0.002847833000000133,1107.7640725130161,15.0,100.0,10,2,6,10,10,1000,100.0,GeomDecay
0,5.6542000000048276e-05,1068.1483700349288,0.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
1,0.001991250000000111,1068.1483700349288,1.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
2,0.002029958000000054,1068.1483700349288,2.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
3,0.0020682499999999937,1055.8602311882357,4.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
4,0.0021043329999999028,1110.8478640371097,6.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
5,0.002139416999999977,1157.3181282767596,8.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
6,0.0021724999999999106,1078.4917572782647,10.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
7,0.0022052500000000475,1077.9078061396028,12.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
8,0.002239832999999969,1108.6374247699814,14.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
9,0.002273208000000082,1056.0592231440833,16.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
10,0.0022970829999999776,1056.0592231440833,17.0,100.0,10,2,7,10,10,1000,100.0,GeomDecay
0,5.9666000000069275e-05,1400.9252885718133,0.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
1,0.0016997080000000775,1400.9252885718133,1.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
2,0.0017326660000001048,1400.9252885718133,2.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
3,0.0017776659999999556,1428.30799023879,4.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
4,0.001812874999999936,1421.6542923361212,6.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
5,0.0018471250000000605,1258.1926185383186,8.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
6,0.0018822080000000518,1321.7117358975513,10.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
7,0.001915665999999927,1304.9902678030735,12.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
8,0.0019487080000000212,1292.7493201817217,14.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
9,0.001972666000000123,1292.7493201817217,15.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
10,0.002006041000000014,1257.117146703709,17.0,100.0,10,2,8,10,10,1000,100.0,GeomDecay
0,7.783399999983232e-05,1298.551899183571,0.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
1,0.00249866700000001,1243.188146679477,2.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
2,0.002551166999999799,1510.6798605026215,4.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
3,0.0025873749999998363,1449.4465875921658,6.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
4,0.002621666999999883,1398.0586948726852,8.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
5,0.0026550419999999963,1387.5407408591486,10.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
6,0.002687874999999895,1215.9451789782324,12.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
7,0.0027236250000000073,1224.6001494637405,14.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
8,0.002758749999999921,1481.7877338478968,16.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
9,0.0027915839999999026,1413.3395669044442,18.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
10,0.00282454199999993,1354.797003037806,20.0,1000.0,10,3,9,10,10,1000,1000.0,GeomDecay
0,6.0874999999960266e-05,1068.1483700349288,0.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
1,0.002120209000000095,1371.9993120015988,2.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
2,0.0021516249999999904,1371.9993120015988,3.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
3,0.0021875840000000757,1359.7111731549057,5.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
4,0.0022227089999999894,1414.6988060037797,7.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
5,0.0022560000000000358,1344.2567375527312,9.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
6,0.0022891670000000364,1266.4605633718616,11.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
7,0.002322334000000037,1265.8766122331997,13.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
8,0.0023570840000000093,1296.606230863578,15.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
9,0.0023897500000000793,1244.0280292376801,17.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
10,0.002422166999999975,1222.458655574073,19.0,1000.0,10,3,10,10,10,1000,1000.0,GeomDecay
0,5.320799999997128e-05,1400.9252885718133,0.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
1,0.0015907500000000852,1576.169800708842,2.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
2,0.0016306249999999967,1509.9942033380246,4.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
3,0.001668416000000006,1582.1686719125296,6.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
4,0.0017046250000001262,1649.6139342757792,8.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
5,0.0017380000000000173,1549.534289992581,10.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
6,0.0017708329999999162,1511.5531920714209,12.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
7,0.0018040409999999785,1483.8591092923687,14.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
8,0.0018387079999999667,1528.0541761244067,16.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
9,0.0018717079999999164,1499.1355363522869,18.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
10,0.0019046250000001042,1321.3260666265962,20.0,1000.0,10,3,11,10,10,1000,1000.0,GeomDecay
0,6.520799999987226e-05,1298.551899183571,0.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
1,0.002143000000000006,1243.188146679477,2.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
2,0.0021892500000000314,1510.6798605026215,4.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
3,0.0022249159999998547,1449.4465875921658,6.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
4,0.0022584580000000187,1398.0586948726852,8.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
5,0.002291249999999856,1387.5407408591486,10.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
6,0.0023238749999998642,1215.9451789782324,12.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
7,0.0023590409999998396,1224.6001494637405,14.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
8,0.002481624999999932,1481.7877338478968,16.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
9,0.0025242079999998612,1413.3395669044442,18.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
10,0.0025598749999999892,1354.797003037806,20.0,10000.0,10,4,12,10,10,1000,10000.0,GeomDecay
0,7.383399999993934e-05,1068.1483700349288,0.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
1,0.001760792000000011,1371.9993120015988,2.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
2,0.0018041669999999677,1411.5030404919626,4.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
3,0.0018398749999999353,1393.7337863099185,6.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
4,0.0018738339999999631,1346.3040281890492,8.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
5,0.0019100420000000007,1336.4027113381774,10.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
6,0.0019425420000001026,1258.6065371573077,12.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
7,0.0019752920000000174,1086.2742276203455,14.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
8,0.002010416999999931,1317.2294996506823,16.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
9,0.0020440840000000016,1120.760051336242,18.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
10,0.0020790420000000864,1167.3156678268408,20.0,10000.0,10,4,13,10,10,1000,10000.0,GeomDecay
0,5.80420000000359e-05,1400.9252885718133,0.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
1,0.001819167000000066,1576.169800708842,2.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
2,0.0018592920000000124,1509.9942033380246,4.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
3,0.0018960839999999646,1582.1686719125296,6.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
4,0.001931000000000127,1649.6139342757792,8.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
5,0.001964041999999999,1549.534289992581,10.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
6,0.00199637500000005,1511.5531920714209,12.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
7,0.0020289170000000745,1483.8591092923687,14.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
8,0.0020617499999999733,1528.0541761244067,16.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
9,0.0020930000000001225,1499.1355363522869,18.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
10,0.0021243340000001165,1321.3260666265962,20.0,10000.0,10,4,14,10,10,1000,10000.0,GeomDecay
