Temperature,max_iters,decay_type,problem_size,max_attempts,run_number,group_timestamp,total_runtime,num_edges,optimal_fitness,max_fitness,total_iterations,max_fevals
0.1,10000,ExpDecay,100,1000,0,1719184353,15.978882541996429,100.0,294,291.0,10000,10577.0
0.1,10000,ExpDecay,100,1000,1,1719184353,16.2362855829997,100.0,294,291.0,10000,10577.0
0.1,10000,ExpDecay,100,1000,2,1719184353,15.63825254200492,100.0,294,291.0,10000,10577.0
0.01,10000,ExpDecay,100,1000,0,1719184475,16.208847999980208,100.0,294,291.0,10000,10577.0
0.01,10000,ExpDecay,100,1000,1,1719184475,15.66542670794297,100.0,294,291.0,10000,10577.0
0.01,10000,ExpDecay,100,1000,2,1719184475,15.403153999999631,100.0,294,291.0,10000,10577.0
0.01,10000,GeomDecay,100,1000,0,1719184523,16.02645087504061,100.0,294,291.0,10000,10577.0
0.01,10000,GeomDecay,100,1000,1,1719184523,15.36887566599762,100.0,294,291.0,10000,10577.0
0.01,10000,GeomDecay,100,1000,2,1719184523,15.926034583011642,100.0,294,291.0,10000,10577.0
0.01,10000,ArithDecay,100,1000,0,1719184572,16.51692887500394,100.0,294,291.0,10000,10577.0
0.01,10000,ArithDecay,100,1000,1,1719184572,15.605103332956787,100.0,294,291.0,10000,10577.0
0.01,10000,ArithDecay,100,1000,2,1719184572,15.557308832998388,100.0,294,291.0,10000,10577.0
0.1,10000,GeomDecay,100,1000,0,1719184621,15.82430708402535,100.0,294,291.0,10000,10577.0
0.1,10000,GeomDecay,100,1000,1,1719184621,16.12929804099258,100.0,294,291.0,10000,10577.0
0.1,10000,GeomDecay,100,1000,2,1719184621,16.190084332949482,100.0,294,291.0,10000,10577.0
0.1,10000,ArithDecay,100,1000,0,1719184671,16.10708008299116,100.0,294,291.0,10000,10577.0
0.1,10000,ArithDecay,100,1000,1,1719184671,16.431680458015762,100.0,294,291.0,10000,10577.0
0.1,10000,ArithDecay,100,1000,2,1719184671,16.357277832983527,100.0,294,291.0,10000,10577.0
1.0,10000,ExpDecay,100,1000,0,1719184721,16.631122582999524,100.0,294,290.0,10000,10874.0
1.0,10000,ExpDecay,100,1000,1,1719184721,16.62552025000332,100.0,294,290.0,10000,10874.0
1.0,10000,ExpDecay,100,1000,2,1719184721,16.591378000041004,100.0,294,290.0,10000,10874.0
1.0,10000,GeomDecay,100,1000,0,1719184773,16.565479874960147,100.0,294,290.0,10000,10874.0
1.0,10000,GeomDecay,100,1000,1,1719184773,17.032536417013034,100.0,294,290.0,10000,10874.0
1.0,10000,GeomDecay,100,1000,2,1719184773,17.202631875057705,100.0,294,290.0,10000,10874.0
1.0,10000,ArithDecay,100,1000,0,1719184826,17.20545312500326,100.0,294,286.0,10000,12310.0
1.0,10000,ArithDecay,100,1000,1,1719184826,18.343280959001277,100.0,294,286.0,10000,12310.0
1.0,10000,ArithDecay,100,1000,2,1719184826,18.000094500021078,100.0,294,286.0,10000,12310.0
10.0,10000,ExpDecay,100,1000,0,1719184881,17.806381166970823,100.0,294,290.0,10000,12300.0
10.0,10000,ExpDecay,100,1000,1,1719184881,17.62182145798579,100.0,294,290.0,10000,12300.0
10.0,10000,ExpDecay,100,1000,2,1719184881,17.361206708999816,100.0,294,290.0,10000,12300.0
10.0,10000,GeomDecay,100,1000,0,1719184936,17.35984324995661,100.0,294,290.0,10000,12300.0
10.0,10000,GeomDecay,100,1000,1,1719184936,17.111499582999386,100.0,294,290.0,10000,12300.0
10.0,10000,GeomDecay,100,1000,2,1719184936,17.698010625026654,100.0,294,290.0,10000,12300.0
10.0,10000,ArithDecay,100,1000,0,1719184991,22.61766891600564,100.0,294,286.0,10000,16598.0
10.0,10000,ArithDecay,100,1000,1,1719184991,22.07296329102246,100.0,294,286.0,10000,16598.0
10.0,10000,ArithDecay,100,1000,2,1719184991,21.829674250038806,100.0,294,286.0,10000,16598.0
100.0,10000,ExpDecay,100,1000,0,1719185060,18.096630415995605,100.0,294,289.0,10000,13437.0
100.0,10000,ExpDecay,100,1000,1,1719185060,18.7949388329871,100.0,294,289.0,10000,13437.0
100.0,10000,ExpDecay,100,1000,2,1719185060,19.226464041974396,100.0,294,289.0,10000,13437.0
100.0,10000,GeomDecay,100,1000,0,1719185118,18.013146082987078,100.0,294,289.0,10000,13437.0
100.0,10000,GeomDecay,100,1000,1,1719185118,18.23685345798731,100.0,294,289.0,10000,13437.0
100.0,10000,GeomDecay,100,1000,2,1719185118,19.671895874955226,100.0,294,289.0,10000,13437.0
100.0,10000,ArithDecay,100,1000,0,1719185177,22.506008917000145,100.0,294,281.0,10000,17951.0
100.0,10000,ArithDecay,100,1000,1,1719185177,21.807549124991056,100.0,294,281.0,10000,17951.0
100.0,10000,ArithDecay,100,1000,2,1719185177,21.898924625013024,100.0,294,281.0,10000,17951.0
