,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00037720799446105957,433.0,0.0,1,10000
1,1,0.0027300419751554728,432.0,2.0,1,10000
2,2,0.0030427920282818377,433.0,4.0,1,10000
3,3,0.0033528750063851476,434.0,6.0,1,10000
4,4,0.003516125027090311,434.0,7.0,1,10000
5,5,0.0038341250037774444,433.0,9.0,1,10000
6,6,0.004153874993789941,432.0,11.0,1,10000
7,7,0.004469749983400106,433.0,13.0,1,10000
8,8,0.004785249999258667,432.0,15.0,1,10000
9,9,0.005100000009406358,434.0,17.0,1,10000
10,10,0.0054196250275708735,434.0,19.0,1,10000
11,11,0.005738208012189716,434.0,21.0,1,10000
12,12,0.005901874974370003,434.0,22.0,1,10000
13,13,0.0062231249758042395,434.0,24.0,1,10000
14,14,0.0065405420027673244,435.0,26.0,1,10000
15,15,0.006704292027279735,435.0,27.0,1,10000
16,16,0.006868500029668212,435.0,28.0,1,10000
17,17,0.00718912499723956,435.0,30.0,1,10000
18,18,0.007506499998271465,436.0,32.0,1,10000
19,19,0.007823083025868982,437.0,34.0,1,10000
20,20,0.007993375009391457,437.0,35.0,1,10000
21,21,0.00816124997800216,437.0,36.0,1,10000
22,22,0.008480667020194232,438.0,38.0,1,10000
23,23,0.008647750015370548,438.0,39.0,1,10000
24,24,0.008967707981355488,438.0,41.0,1,10000
25,25,0.009288917004596442,439.0,43.0,1,10000
26,26,0.009608916996512562,440.0,45.0,1,10000
27,27,0.010002083028666675,440.0,47.0,1,10000
28,28,0.010398624988738447,441.0,49.0,1,10000
29,29,0.010599916975479573,441.0,50.0,1,10000
30,30,0.010776958020869642,441.0,51.0,1,10000
31,31,0.010955291974823922,441.0,52.0,1,10000
32,32,0.011297792021650821,441.0,54.0,1,10000
33,33,0.011638333031442016,443.0,56.0,1,10000
34,34,0.01197370799491182,441.0,58.0,1,10000
35,35,0.012156291981227696,441.0,59.0,1,10000
36,36,0.01233450003201142,441.0,60.0,1,10000
37,37,0.012509167019743472,441.0,61.0,1,10000
38,38,0.012848625017795712,441.0,63.0,1,10000
39,39,0.01302512502297759,441.0,64.0,1,10000
40,40,0.013204500020947307,441.0,65.0,1,10000
41,41,0.01355937501648441,441.0,67.0,1,10000
42,42,0.013899417011998594,443.0,69.0,1,10000
43,43,0.014237250026781112,445.0,71.0,1,10000
44,44,0.014590666978619993,448.0,73.0,1,10000
45,45,0.014930541976355016,448.0,75.0,1,10000
46,46,0.015110749984160066,448.0,76.0,1,10000
47,47,0.015289250004570931,448.0,77.0,1,10000
48,48,0.015628832974471152,449.0,79.0,1,10000
49,49,0.01580704201478511,449.0,80.0,1,10000
50,50,0.015986583021003753,449.0,81.0,1,10000
51,51,0.0163343750173226,448.0,83.0,1,10000
52,52,0.016662292007822543,449.0,85.0,1,10000
53,53,0.016991249984130263,450.0,87.0,1,10000
54,54,0.017164833028800786,450.0,88.0,1,10000
55,55,0.017502708011306822,450.0,90.0,1,10000
56,56,0.01783999998588115,449.0,92.0,1,10000
57,57,0.018180291983298957,449.0,94.0,1,10000
58,58,0.01835395797388628,449.0,95.0,1,10000
59,59,0.018683083006180823,449.0,97.0,1,10000
60,60,0.01902483298908919,451.0,99.0,1,10000
61,61,0.019353792013134807,452.0,101.0,1,10000
62,62,0.01968316698912531,452.0,103.0,1,10000
63,63,0.02001483301864937,454.0,105.0,1,10000
64,64,0.020354375010356307,455.0,107.0,1,10000
65,65,0.0206860420294106,455.0,109.0,1,10000
66,66,0.02101570798549801,456.0,111.0,1,10000
67,67,0.02134545799344778,456.0,113.0,1,10000
68,68,0.021687000000383705,457.0,115.0,1,10000
69,69,0.022029042011126876,458.0,117.0,1,10000
70,70,0.022384874988347292,460.0,119.0,1,10000
71,71,0.02272829198045656,461.0,121.0,1,10000
72,72,0.022907125006895512,461.0,122.0,1,10000
73,73,0.02325416699750349,461.0,124.0,1,10000
74,74,0.02358924999134615,461.0,126.0,1,10000
75,75,0.023920291976537555,462.0,128.0,1,10000
