Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
35,0.07258420798461884,487.0,404.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
36,0.07450041599804536,487.0,415.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
37,0.0765685000224039,488.0,427.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
38,0.07850670797051862,488.0,438.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
39,0.08059837500331923,490.0,450.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
40,0.08251674997154623,490.0,461.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
41,0.08445937500800937,490.0,472.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
42,0.08636879100231454,490.0,483.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
43,0.08828120800899342,490.0,494.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
44,0.0902092499891296,490.0,505.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
45,0.09213900001486763,490.0,516.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
46,0.09407683298923075,490.0,527.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
47,0.09600349998800084,490.0,538.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
48,0.09793166600866243,490.0,549.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
49,0.0998853329801932,490.0,560.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
50,0.1017771249753423,490.0,571.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
51,0.10370687500108033,490.0,582.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
52,0.10565366601804271,490.0,593.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
53,0.10757975000888109,490.0,604.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
54,0.10952583298785612,490.0,615.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
55,0.11144679097924381,490.0,626.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
