,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0007445840019499883,469.0,0.0,10000.0,10000
1,1,0.009251429997675586,467.0,2.0,10000.0,10000
2,2,0.009802726999623701,465.0,4.0,10000.0,10000
3,3,0.010344515998440329,465.0,6.0,10000.0,10000
4,4,0.010875895000935998,465.0,8.0,10000.0,10000
5,5,0.011414638000132982,465.0,10.0,10000.0,10000
6,6,0.01194330200087279,467.0,12.0,10000.0,10000
7,7,0.01246734699816443,469.0,14.0,10000.0,10000
8,8,0.012997204001294449,469.0,16.0,10000.0,10000
9,9,0.013528752999263816,471.0,18.0,10000.0,10000
10,10,0.014053359001991339,471.0,20.0,10000.0,10000
11,11,0.014583085001504514,471.0,22.0,10000.0,10000
12,12,0.015103493999049533,471.0,24.0,10000.0,10000
13,13,0.01563071499549551,471.0,26.0,10000.0,10000
14,14,0.01615730499906931,471.0,28.0,10000.0,10000
15,15,0.016672263001964893,473.0,30.0,10000.0,10000
16,16,0.017189304999192245,475.0,32.0,10000.0,10000
17,17,0.017715064001095016,475.0,34.0,10000.0,10000
18,18,0.018233989001601003,475.0,36.0,10000.0,10000
19,19,0.018768183996144217,475.0,38.0,10000.0,10000
20,20,0.019313680000777822,475.0,40.0,10000.0,10000
21,21,0.019898801001545507,473.0,42.0,10000.0,10000
22,22,0.020451610995223746,471.0,44.0,10000.0,10000
23,23,0.021008438998251222,471.0,46.0,10000.0,10000
24,24,0.021566147996054497,471.0,48.0,10000.0,10000
25,25,0.022108778000983875,471.0,50.0,10000.0,10000
26,26,0.02263988699996844,473.0,52.0,10000.0,10000
27,27,0.023171506996732205,473.0,54.0,10000.0,10000
28,28,0.023735687995213084,471.0,56.0,10000.0,10000
29,29,0.024285341998620424,473.0,58.0,10000.0,10000
30,30,0.02485138699557865,475.0,60.0,10000.0,10000
31,31,0.025427350999962073,475.0,62.0,10000.0,10000
32,32,0.026002031998359598,473.0,64.0,10000.0,10000
33,33,0.026569579997158144,471.0,66.0,10000.0,10000
34,34,0.027131627000926528,471.0,68.0,10000.0,10000
35,35,0.02773435199924279,471.0,70.0,10000.0,10000
36,36,0.02830446499865502,469.0,72.0,10000.0,10000
37,37,0.028877382996142842,467.0,74.0,10000.0,10000
38,38,0.029429771995637566,465.0,76.0,10000.0,10000
39,39,0.029979726001329254,463.0,78.0,10000.0,10000
40,40,0.030552543998055626,461.0,80.0,10000.0,10000
41,41,0.031106736001675017,459.0,82.0,10000.0,10000
42,42,0.03169081600208301,459.0,84.0,10000.0,10000
43,43,0.03224046000104863,461.0,86.0,10000.0,10000
44,44,0.032792218000395223,461.0,88.0,10000.0,10000
45,45,0.03333823499997379,463.0,90.0,10000.0,10000
46,46,0.033896003995323554,461.0,92.0,10000.0,10000
47,47,0.03445837199978996,461.0,94.0,10000.0,10000
48,48,0.03499495099822525,463.0,96.0,10000.0,10000
49,49,0.035545426995668095,465.0,98.0,10000.0,10000
50,50,0.03608471099869348,465.0,100.0,10000.0,10000
51,51,0.036635676995501854,463.0,102.0,10000.0,10000
52,52,0.03716160600015428,465.0,104.0,10000.0,10000
53,53,0.037698665997595526,463.0,106.0,10000.0,10000
54,54,0.038223402996663935,465.0,108.0,10000.0,10000
55,55,0.03875917999539524,465.0,110.0,10000.0,10000
56,56,0.039301710996369366,465.0,112.0,10000.0,10000
57,57,0.0399164379996364,465.0,114.0,10000.0,10000
58,58,0.04054375900159357,465.0,116.0,10000.0,10000
59,59,0.0411344009989989,463.0,118.0,10000.0,10000
60,60,0.041746312999748625,461.0,120.0,10000.0,10000
61,61,0.042357865000667516,459.0,122.0,10000.0,10000
62,62,0.04294453899638029,461.0,124.0,10000.0,10000
63,63,0.043567290995270014,461.0,126.0,10000.0,10000
64,64,0.04419564500130946,461.0,128.0,10000.0,10000
65,65,0.04483692299982067,461.0,130.0,10000.0,10000
66,66,0.045485623995773494,463.0,132.0,10000.0,10000
67,67,0.04611748400202487,463.0,134.0,10000.0,10000
68,68,0.04674684000201523,465.0,136.0,10000.0,10000
69,69,0.047430647995497566,465.0,138.0,10000.0,10000
70,70,0.04803550699580228,467.0,140.0,10000.0,10000
71,71,0.048636678999173455,469.0,142.0,10000.0,10000
72,72,0.04924318099801894,467.0,144.0,10000.0,10000
73,73,0.04981516699626809,469.0,146.0,10000.0,10000
74,74,0.05039792400202714,467.0,148.0,10000.0,10000
75,75,0.05097764499805635,465.0,150.0,10000.0,10000
76,76,0.05157341699668905,463.0,152.0,10000.0,10000
77,77,0.05215929899713956,463.0,154.0,10000.0,10000
78,78,0.052732457996171433,463.0,156.0,10000.0,10000
79,79,0.05330696899909526,461.0,158.0,10000.0,10000
80,80,0.05388418499933323,461.0,160.0,10000.0,10000
81,81,0.05445975800103042,461.0,162.0,10000.0,10000
82,82,0.05503892799606547,461.0,164.0,10000.0,10000
83,83,0.055639608995988965,461.0,166.0,10000.0,10000
84,84,0.05621179599984316,461.0,168.0,10000.0,10000
85,85,0.056770215996948536,461.0,170.0,10000.0,10000
86,86,0.05733060999773443,461.0,172.0,10000.0,10000
87,87,0.05790655400051037,461.0,174.0,10000.0,10000
88,88,0.05846139799541561,463.0,176.0,10000.0,10000
89,89,0.05901935699512251,465.0,178.0,10000.0,10000
90,90,0.059614227000565734,463.0,180.0,10000.0,10000
91,91,0.060187666000274476,463.0,182.0,10000.0,10000
92,92,0.060752227996999864,461.0,184.0,10000.0,10000
93,93,0.06130955700064078,459.0,186.0,10000.0,10000
94,94,0.061868778997450136,461.0,188.0,10000.0,10000
95,95,0.06241244099510368,463.0,190.0,10000.0,10000
96,96,0.06296745500003453,463.0,192.0,10000.0,10000
97,97,0.06352147799771046,463.0,194.0,10000.0,10000
98,98,0.06407953699817881,463.0,196.0,10000.0,10000
99,99,0.06465244599530706,461.0,198.0,10000.0,10000
100,100,0.06523192599706817,461.0,200.0,10000.0,10000
101,101,0.06582004299707478,461.0,202.0,10000.0,10000
102,102,0.066376119000779,463.0,204.0,10000.0,10000
103,103,0.06693286699737655,465.0,206.0,10000.0,10000
104,104,0.06756084999506129,465.0,208.0,10000.0,10000
105,105,0.06812555199576309,467.0,210.0,10000.0,10000
106,106,0.06867467499978375,469.0,212.0,10000.0,10000
107,107,0.0692254210007377,469.0,214.0,10000.0,10000
108,108,0.06977294100215659,469.0,216.0,10000.0,10000
109,109,0.07031562100019073,469.0,218.0,10000.0,10000
110,110,0.07086777000222355,469.0,220.0,10000.0,10000
111,111,0.07145372300146846,469.0,222.0,10000.0,10000
112,112,0.07203881399618695,469.0,224.0,10000.0,10000
113,113,0.07260961800056975,471.0,226.0,10000.0,10000
114,114,0.0731854609985021,469.0,228.0,10000.0,10000
115,115,0.07375780800066423,471.0,230.0,10000.0,10000
116,116,0.0743432999952347,471.0,232.0,10000.0,10000
117,117,0.07491538699832745,473.0,234.0,10000.0,10000
118,118,0.0755087840007036,475.0,236.0,10000.0,10000
119,119,0.07610652899893466,475.0,238.0,10000.0,10000
120,120,0.07669093900040025,473.0,240.0,10000.0,10000
121,121,0.07727045899810037,473.0,242.0,10000.0,10000
122,122,0.07783810699766036,475.0,244.0,10000.0,10000
123,123,0.07841886999813141,477.0,246.0,10000.0,10000
124,124,0.07900129599875072,477.0,248.0,10000.0,10000
125,125,0.07960086499952013,479.0,250.0,10000.0,10000
126,126,0.0801643349986989,479.0,252.0,10000.0,10000
127,127,0.08073074099957012,481.0,254.0,10000.0,10000
128,128,0.08130795699980808,479.0,256.0,10000.0,10000
129,129,0.0818799240005319,479.0,258.0,10000.0,10000
130,130,0.08245193999755429,479.0,260.0,10000.0,10000
131,131,0.08302422700216994,479.0,262.0,10000.0,10000
132,132,0.0836063929964439,479.0,264.0,10000.0,10000
133,133,0.08418243699998129,481.0,266.0,10000.0,10000
134,134,0.08477123500051675,479.0,268.0,10000.0,10000
135,135,0.08536486199591309,479.0,270.0,10000.0,10000
136,136,0.0859614450018853,479.0,272.0,10000.0,10000
137,137,0.08654616599960718,479.0,274.0,10000.0,10000
138,138,0.08712113799992949,477.0,276.0,10000.0,10000
139,139,0.08773443199606845,475.0,278.0,10000.0,10000
