Temperature,max_iters,problem_size,t_pct,decay_type,max_attempts,run_number,group_timestamp,total_runtime,max_fitness,total_iterations,max_fevals
1,10000,30,0.4,ExpDecay,1000000000.0,0,1718996765,8.175588499987498,30.0,10000,10369.0
1,10000,30,0.4,ExpDecay,1000000000.0,1,1718996765,8.245699291990604,30.0,10000,10369.0
1,10000,30,0.4,ExpDecay,1000000000.0,2,1718996765,8.216219040972646,30.0,10000,10369.0
1,10000,30,0.4,GeomDecay,1000000000.0,0,1718996791,8.23176583298482,30.0,10000,10369.0
1,10000,30,0.4,GeomDecay,1000000000.0,1,1718996791,8.215168583003106,30.0,10000,10369.0
1,10000,30,0.4,GeomDecay,1000000000.0,2,1718996791,8.2036829580029,30.0,10000,10369.0
1,10000,30,0.4,ArithDecay,1000000000.0,0,1718996817,8.3262010840117,30.0,10000,10793.0
1,10000,30,0.4,ArithDecay,1000000000.0,1,1718996817,8.353560832998483,30.0,10000,10793.0
1,10000,30,0.4,ArithDecay,1000000000.0,2,1718996817,8.281466415995965,30.0,10000,10793.0
10,10000,30,0.4,ExpDecay,1000000000.0,0,1718996843,8.161602707987186,30.0,10000,12697.0
10,10000,30,0.4,ExpDecay,1000000000.0,1,1718996843,8.16287708299933,30.0,10000,12697.0
10,10000,30,0.4,ExpDecay,1000000000.0,2,1718996843,8.169461124984082,30.0,10000,12697.0
10,10000,30,0.4,GeomDecay,1000000000.0,0,1718996869,8.322588792012539,30.0,10000,12697.0
10,10000,30,0.4,GeomDecay,1000000000.0,1,1718996869,8.19731279197731,30.0,10000,12697.0
10,10000,30,0.4,GeomDecay,1000000000.0,2,1718996869,8.271027708018664,30.0,10000,12697.0
10,10000,30,0.4,ArithDecay,1000000000.0,0,1718996896,8.279907959018601,30.0,10000,18682.0
10,10000,30,0.4,ArithDecay,1000000000.0,1,1718996896,8.342356958019082,30.0,10000,18682.0
10,10000,30,0.4,ArithDecay,1000000000.0,2,1718996896,8.28820891698706,30.0,10000,18682.0
100,10000,30,0.4,ExpDecay,1000000000.0,0,1718996922,8.449491707986454,30.0,10000,14064.0
100,10000,30,0.4,ExpDecay,1000000000.0,1,1718996922,8.434356334008044,30.0,10000,14064.0
100,10000,30,0.4,ExpDecay,1000000000.0,2,1718996922,8.170362917007878,30.0,10000,14064.0
100,10000,30,0.4,GeomDecay,1000000000.0,0,1718996949,8.234922667004867,30.0,10000,14064.0
100,10000,30,0.4,GeomDecay,1000000000.0,1,1718996949,8.204627583996626,30.0,10000,14064.0
100,10000,30,0.4,GeomDecay,1000000000.0,2,1718996949,8.268355541978963,30.0,10000,14064.0
100,10000,30,0.4,ArithDecay,1000000000.0,0,1718996976,8.350396875001024,20.0,10000,19932.0
100,10000,30,0.4,ArithDecay,1000000000.0,1,1718996976,8.222942250024062,20.0,10000,19932.0
100,10000,30,0.4,ArithDecay,1000000000.0,2,1718996976,8.522776875004638,20.0,10000,19932.0
1000,10000,30,0.4,ExpDecay,1000000000.0,0,1718997003,8.354362790996674,30.0,10000,15282.0
1000,10000,30,0.4,ExpDecay,1000000000.0,1,1718997003,8.354334457981167,30.0,10000,15282.0
1000,10000,30,0.4,ExpDecay,1000000000.0,2,1718997003,8.369603917002678,30.0,10000,15282.0
1000,10000,30,0.4,GeomDecay,1000000000.0,0,1718997030,8.462290416995529,30.0,10000,15282.0
1000,10000,30,0.4,GeomDecay,1000000000.0,1,1718997030,8.375801916990895,30.0,10000,15282.0
1000,10000,30,0.4,GeomDecay,1000000000.0,2,1718997030,8.311947416019393,30.0,10000,15282.0
1000,10000,30,0.4,ArithDecay,1000000000.0,0,1718997058,8.278650749998633,14.0,10000,19997.0
1000,10000,30,0.4,ArithDecay,1000000000.0,1,1718997058,8.38147745799506,14.0,10000,19997.0
1000,10000,30,0.4,ArithDecay,1000000000.0,2,1718997058,8.392869041999802,14.0,10000,19997.0
10000,10000,30,0.4,ExpDecay,1000000000.0,0,1718997085,8.432484332995955,30.0,10000,15802.0
10000,10000,30,0.4,ExpDecay,1000000000.0,1,1718997085,8.302044042007765,30.0,10000,15802.0
10000,10000,30,0.4,ExpDecay,1000000000.0,2,1718997085,8.201405832980527,30.0,10000,15802.0
10000,10000,30,0.4,GeomDecay,1000000000.0,0,1718997113,8.163939666992519,30.0,10000,15802.0
10000,10000,30,0.4,GeomDecay,1000000000.0,1,1718997113,8.211064667004393,30.0,10000,15802.0
10000,10000,30,0.4,GeomDecay,1000000000.0,2,1718997113,8.1998061669874,30.0,10000,15802.0
10000,10000,30,0.4,ArithDecay,1000000000.0,0,1718997140,8.345890333002899,12.0,10000,20000.0
10000,10000,30,0.4,ArithDecay,1000000000.0,1,1718997140,8.36957337500644,12.0,10000,20000.0
10000,10000,30,0.4,ArithDecay,1000000000.0,2,1718997140,8.563456750009209,12.0,10000,20000.0
