Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart,group_number,run_number,problem_size,max_iterations,max_attempts,max_restarts
0,0.00010416699999993284,1298.551899183571,0.0,0,10,0,0,0,10,10,1000,0
1,0.0049116670000000084,1243.188146679477,2.0,0,10,0,0,0,10,10,1000,0
2,0.004941582999999916,1243.188146679477,3.0,0,10,0,0,0,10,10,1000,0
3,0.0049662079999999165,1243.188146679477,4.0,0,10,0,0,0,10,10,1000,0
4,0.004988416999999856,1243.188146679477,5.0,0,10,0,0,0,10,10,1000,0
5,0.0050102079999998494,1243.188146679477,6.0,0,10,0,0,0,10,10,1000,0
6,0.005032624999999902,1243.188146679477,7.0,0,10,0,0,0,10,10,1000,0
7,0.005054374999999833,1243.188146679477,8.0,0,10,0,0,0,10,10,1000,0
8,0.005075374999999882,1243.188146679477,9.0,0,10,0,0,0,10,10,1000,0
9,0.005108749999999995,1149.2424913233694,11.0,0,10,0,0,0,10,10,1000,0
10,0.005130249999999892,1149.2424913233694,12.0,0,10,0,0,0,10,10,1000,0
0,6.233300000002551e-05,1417.3575899077787,0.0,0,10,0,0,1,10,10,1000,0
1,0.0019799169999998867,1346.331570318068,2.0,0,10,0,0,1,10,10,1000,0
2,0.0020216669999999493,1230.6073840317363,4.0,0,10,0,0,1,10,10,1000,0
3,0.0020563329999998547,1228.6058378811592,6.0,0,10,0,0,1,10,10,1000,0
4,0.0020891669999998363,1226.7404627567926,8.0,0,10,0,0,1,10,10,1000,0
5,0.0021108749999998455,1226.7404627567926,9.0,0,10,0,0,1,10,10,1000,0
6,0.002143749999999889,1150.9386143456907,11.0,0,10,0,0,1,10,10,1000,0
7,0.002175791999999843,1149.9084175280655,13.0,0,10,0,0,1,10,10,1000,0
8,0.0021970000000000045,1149.9084175280655,14.0,0,10,0,0,1,10,10,1000,0
9,0.0022183329999998502,1149.9084175280655,15.0,0,10,0,0,1,10,10,1000,0
10,0.002239416999999966,1149.9084175280655,16.0,0,10,0,0,1,10,10,1000,0
0,5.466600000003652e-05,1433.26174126467,0.0,0,10,0,0,2,10,10,1000,0
1,0.0015140829999999994,1294.1861604404885,2.0,0,10,0,0,2,10,10,1000,0
2,0.0015399579999999524,1294.1861604404885,3.0,0,10,0,0,2,10,10,1000,0
3,0.0015745000000000342,1264.7633800454687,5.0,0,10,0,0,2,10,10,1000,0
4,0.0015958750000000244,1264.7633800454687,6.0,0,10,0,0,2,10,10,1000,0
5,0.001617374999999921,1264.7633800454687,7.0,0,10,0,0,2,10,10,1000,0
6,0.001649707999999972,1246.3172694172977,9.0,0,10,0,0,2,10,10,1000,0
7,0.0016707910000000048,1246.3172694172977,10.0,0,10,0,0,2,10,10,1000,0
8,0.0017033749999999515,1196.137932451305,12.0,0,10,0,0,2,10,10,1000,0
9,0.0017245829999998907,1196.137932451305,13.0,0,10,0,0,2,10,10,1000,0
10,0.0017454159999998886,1196.137932451305,14.0,0,10,0,0,2,10,10,1000,0
0,7.537499999998865e-05,1298.551899183571,0.0,25,10,0,1,3,10,10,1000,25
1,0.0026193750000000904,1243.188146679477,2.0,25,10,0,1,3,10,10,1000,25
2,0.0026471249999999724,1243.188146679477,3.0,25,10,0,1,3,10,10,1000,25
3,0.00267050000000002,1243.188146679477,4.0,25,10,0,1,3,10,10,1000,25
4,0.00269220899999989,1243.188146679477,5.0,25,10,0,1,3,10,10,1000,25
5,0.0027135419999999577,1243.188146679477,6.0,25,10,0,1,3,10,10,1000,25
6,0.0027347920000000414,1243.188146679477,7.0,25,10,0,1,3,10,10,1000,25
7,0.0027554169999999267,1243.188146679477,8.0,25,10,0,1,3,10,10,1000,25
8,0.002776292000000069,1243.188146679477,9.0,25,10,0,1,3,10,10,1000,25
9,0.002808624999999898,1149.2424913233694,11.0,25,10,0,1,3,10,10,1000,25
10,0.0028294589999999786,1149.2424913233694,12.0,25,10,0,1,3,10,10,1000,25
1,0.0026193750000000904,1408.1050757054065,14.0,25,10,1,1,3,10,10,1000,25
2,0.0026471249999999724,1240.946328767009,16.0,25,10,1,1,3,10,10,1000,25
3,0.00267050000000002,1240.946328767009,17.0,25,10,1,1,3,10,10,1000,25
4,0.00269220899999989,1240.946328767009,18.0,25,10,1,1,3,10,10,1000,25
5,0.0027135419999999577,1237.579040440094,20.0,25,10,1,1,3,10,10,1000,25
6,0.0027347920000000414,1237.579040440094,21.0,25,10,1,1,3,10,10,1000,25
7,0.0027554169999999267,1237.579040440094,22.0,25,10,1,1,3,10,10,1000,25
8,0.002776292000000069,1237.579040440094,23.0,25,10,1,1,3,10,10,1000,25
9,0.002808624999999898,1093.0323572310972,25.0,25,10,1,1,3,10,10,1000,25
10,0.0028294589999999786,1093.0323572310972,26.0,25,10,1,1,3,10,10,1000,25
1,0.0026193750000000904,1432.526919282176,27.0,25,10,2,1,3,10,10,1000,25
2,0.0026471249999999724,1423.106310506572,29.0,25,10,2,1,3,10,10,1000,25
3,0.00267050000000002,1343.021105845666,31.0,25,10,2,1,3,10,10,1000,25
4,0.00269220899999989,1343.021105845666,32.0,25,10,2,1,3,10,10,1000,25
5,0.0027135419999999577,1220.718698517258,34.0,25,10,2,1,3,10,10,1000,25
6,0.0027347920000000414,1220.718698517258,35.0,25,10,2,1,3,10,10,1000,25
7,0.0027554169999999267,1220.718698517258,36.0,25,10,2,1,3,10,10,1000,25
8,0.002776292000000069,1220.718698517258,37.0,25,10,2,1,3,10,10,1000,25
9,0.002808624999999898,1220.718698517258,38.0,25,10,2,1,3,10,10,1000,25
10,0.0028294589999999786,1220.718698517258,39.0,25,10,2,1,3,10,10,1000,25
1,0.0026193750000000904,1430.5708183625354,41.0,25,10,3,1,3,10,10,1000,25
2,0.0026471249999999724,1403.867966292074,43.0,25,10,3,1,3,10,10,1000,25
3,0.00267050000000002,1249.056570023419,45.0,25,10,3,1,3,10,10,1000,25
4,0.00269220899999989,1249.056570023419,46.0,25,10,3,1,3,10,10,1000,25
5,0.0027135419999999577,1249.056570023419,47.0,25,10,3,1,3,10,10,1000,25
6,0.0027347920000000414,1249.056570023419,48.0,25,10,3,1,3,10,10,1000,25
7,0.0027554169999999267,1089.4816960818393,50.0,25,10,3,1,3,10,10,1000,25
8,0.002776292000000069,1089.4816960818393,51.0,25,10,3,1,3,10,10,1000,25
9,0.002808624999999898,1089.4816960818393,52.0,25,10,3,1,3,10,10,1000,25
10,0.0028294589999999786,1089.4816960818393,53.0,25,10,3,1,3,10,10,1000,25
1,0.0026193750000000904,1302.828900233741,55.0,25,10,4,1,3,10,10,1000,25
2,0.0026471249999999724,1302.828900233741,56.0,25,10,4,1,3,10,10,1000,25
3,0.00267050000000002,1302.828900233741,57.0,25,10,4,1,3,10,10,1000,25
4,0.00269220899999989,1302.828900233741,58.0,25,10,4,1,3,10,10,1000,25
5,0.0027135419999999577,1302.828900233741,59.0,25,10,4,1,3,10,10,1000,25
6,0.0027347920000000414,1302.828900233741,60.0,25,10,4,1,3,10,10,1000,25
7,0.0027554169999999267,1252.0002837707866,62.0,25,10,4,1,3,10,10,1000,25
8,0.002776292000000069,1252.0002837707866,63.0,25,10,4,1,3,10,10,1000,25
9,0.002808624999999898,1252.0002837707866,64.0,25,10,4,1,3,10,10,1000,25
10,0.0028294589999999786,1252.0002837707866,65.0,25,10,4,1,3,10,10,1000,25
1,0.0026193750000000904,1245.4727797469466,66.0,25,10,5,1,3,10,10,1000,25
2,0.0026471249999999724,1175.030247972628,68.0,25,10,5,1,3,10,10,1000,25
3,0.00267050000000002,1175.030247972628,69.0,25,10,5,1,3,10,10,1000,25
4,0.00269220899999989,1175.030247972628,70.0,25,10,5,1,3,10,10,1000,25
5,0.0027135419999999577,1175.030247972628,71.0,25,10,5,1,3,10,10,1000,25
6,0.0027347920000000414,1175.030247972628,72.0,25,10,5,1,3,10,10,1000,25
