,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.49429170599978534,100.0,100.0,True,100,0.9,1000
1,1,31.86182438099786,84.0,202.0,True,100,0.9,1000
2,2,46.06503757199971,81.0,304.0,True,100,0.9,1000
3,3,57.01436948399714,81.0,405.0,True,100,0.9,1000
4,4,86.39536831099758,81.0,506.0,True,100,0.9,1000
5,5,122.53074036199905,81.0,607.0,True,100,0.9,1000
6,6,152.57111166699906,81.0,708.0,True,100,0.9,1000
7,7,186.93766555599723,81.0,809.0,True,100,0.9,1000
8,8,208.84186733499882,81.0,910.0,True,100,0.9,1000
9,9,218.4458253720004,81.0,1011.0,True,100,0.9,1000
10,10,230.13030945799983,81.0,1112.0,True,100,0.9,1000
11,11,253.96804785600034,81.0,1213.0,True,100,0.9,1000
12,12,263.521916493999,81.0,1314.0,True,100,0.9,1000
13,13,273.1339051819996,81.0,1415.0,True,100,0.9,1000
14,14,292.42453625399867,81.0,1516.0,True,100,0.9,1000
15,15,307.004683070998,81.0,1617.0,True,100,0.9,1000
16,16,316.3722366289985,81.0,1718.0,True,100,0.9,1000
17,17,339.8679897689981,81.0,1819.0,True,100,0.9,1000
18,18,363.66732146999857,81.0,1920.0,True,100,0.9,1000
19,19,389.81007576499906,81.0,2021.0,True,100,0.9,1000
20,20,411.5816465989992,81.0,2122.0,True,100,0.9,1000
21,21,433.3848955129979,81.0,2223.0,True,100,0.9,1000
22,22,453.27389786099957,81.0,2324.0,True,100,0.9,1000
23,23,471.17116947499744,81.0,2425.0,True,100,0.9,1000
24,24,481.45914038000046,81.0,2526.0,True,100,0.9,1000
25,25,499.925165577999,81.0,2627.0,True,100,0.9,1000
26,26,521.0114095539975,81.0,2728.0,True,100,0.9,1000
27,27,531.2254157269999,81.0,2829.0,True,100,0.9,1000
28,28,551.0316327670007,81.0,2930.0,True,100,0.9,1000
29,29,571.464112136,81.0,3031.0,True,100,0.9,1000
30,30,582.2132326719984,81.0,3132.0,True,100,0.9,1000
31,31,606.9872834479975,81.0,3233.0,True,100,0.9,1000
32,32,620.7092779259983,81.0,3334.0,True,100,0.9,1000
33,33,630.4334170749971,81.0,3435.0,True,100,0.9,1000
34,34,653.8898039369997,81.0,3536.0,True,100,0.9,1000
35,35,664.6774544209984,81.0,3637.0,True,100,0.9,1000
36,36,674.3796768399989,81.0,3738.0,True,100,0.9,1000
37,37,699.644461347998,81.0,3839.0,True,100,0.9,1000
38,38,709.2845747699976,81.0,3940.0,True,100,0.9,1000
39,39,718.4946270969995,81.0,4041.0,True,100,0.9,1000
40,40,743.2589937429984,81.0,4142.0,True,100,0.9,1000
41,41,752.393173982,81.0,4243.0,True,100,0.9,1000
42,42,761.54488709,81.0,4344.0,True,100,0.9,1000
43,43,786.3722864379997,81.0,4445.0,True,100,0.9,1000
44,44,795.6115150740006,81.0,4546.0,True,100,0.9,1000
45,45,804.8884846209985,81.0,4647.0,True,100,0.9,1000
46,46,829.590251196998,81.0,4748.0,True,100,0.9,1000
47,47,838.9015257389983,81.0,4849.0,True,100,0.9,1000
48,48,848.1679525349973,81.0,4950.0,True,100,0.9,1000
49,49,873.5989093149983,81.0,5051.0,True,100,0.9,1000
50,50,882.9613380359988,81.0,5152.0,True,100,0.9,1000
51,51,892.2952240150007,81.0,5253.0,True,100,0.9,1000
52,52,917.9191347729975,81.0,5354.0,True,100,0.9,1000
53,53,927.1970039789994,81.0,5455.0,True,100,0.9,1000
54,54,937.0899723049988,81.0,5556.0,True,100,0.9,1000
55,55,961.3866526339989,81.0,5657.0,True,100,0.9,1000
56,56,970.1166686100005,81.0,5758.0,True,100,0.9,1000
57,57,978.7714216919994,81.0,5859.0,True,100,0.9,1000
58,58,998.4423150740004,81.0,5960.0,True,100,0.9,1000
59,59,1010.6844292829992,81.0,6061.0,True,100,0.9,1000
60,60,1019.3326324970003,81.0,6162.0,True,100,0.9,1000
61,61,1032.2120697329992,81.0,6263.0,True,100,0.9,1000
62,62,1051.1741106570007,81.0,6364.0,True,100,0.9,1000
63,63,1060.0117846489993,81.0,6465.0,True,100,0.9,1000
64,64,1069.2050560989992,81.0,6566.0,True,100,0.9,1000
65,65,1079.0836135329992,81.0,6667.0,True,100,0.9,1000
66,66,1087.7674183339986,81.0,6768.0,True,100,0.9,1000
67,67,1096.3972131299997,81.0,6869.0,True,100,0.9,1000
68,68,1104.9066173889987,81.0,6970.0,True,100,0.9,1000
69,69,1113.3958865679997,81.0,7071.0,True,100,0.9,1000
70,70,1122.0274092910004,81.0,7172.0,True,100,0.9,1000
71,71,1130.6391302949996,81.0,7273.0,True,100,0.9,1000
72,72,1139.3150186409985,81.0,7374.0,True,100,0.9,1000
73,73,1147.780520436998,81.0,7475.0,True,100,0.9,1000
74,74,1156.5063758609977,81.0,7576.0,True,100,0.9,1000
75,75,1165.1221147529977,81.0,7677.0,True,100,0.9,1000
76,76,1173.805484960998,81.0,7778.0,True,100,0.9,1000
77,77,1182.4554445469985,81.0,7879.0,True,100,0.9,1000
78,78,1191.1021334299985,81.0,7980.0,True,100,0.9,1000
79,79,1199.6360745870006,81.0,8081.0,True,100,0.9,1000
80,80,1208.4742922439982,81.0,8182.0,True,100,0.9,1000
81,81,1217.344223486998,81.0,8283.0,True,100,0.9,1000
82,82,1225.9267370499983,81.0,8384.0,True,100,0.9,1000
83,83,1234.4043700619986,81.0,8485.0,True,100,0.9,1000
84,84,1242.9089163579993,81.0,8586.0,True,100,0.9,1000
85,85,1251.4063850469975,81.0,8687.0,True,100,0.9,1000
86,86,1259.8659489019992,81.0,8788.0,True,100,0.9,1000
87,87,1268.5379375569973,81.0,8889.0,True,100,0.9,1000
88,88,1277.0770870749984,81.0,8990.0,True,100,0.9,1000
89,89,1285.6257192819976,81.0,9091.0,True,100,0.9,1000
90,90,1294.1097069610005,81.0,9192.0,True,100,0.9,1000
91,91,1302.7347937589984,81.0,9293.0,True,100,0.9,1000
92,92,1311.2975434799991,81.0,9394.0,True,100,0.9,1000
93,93,1319.8488982319977,81.0,9495.0,True,100,0.9,1000
94,94,1328.421288622998,81.0,9596.0,True,100,0.9,1000
95,95,1337.0983861759996,81.0,9697.0,True,100,0.9,1000
96,96,1345.6025200009972,81.0,9798.0,True,100,0.9,1000
97,97,1354.0948092779981,81.0,9899.0,True,100,0.9,1000
98,98,1362.9445846559975,81.0,10000.0,True,100,0.9,1000
99,99,1372.1277210519984,81.0,10101.0,True,100,0.9,1000
100,100,1380.755626238999,81.0,10202.0,True,100,0.9,1000
101,101,1389.2454353229987,81.0,10303.0,True,100,0.9,1000
102,102,1397.6225064129976,81.0,10404.0,True,100,0.9,1000
