,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.04158887500000219,1057.0,0.0,100,1,0
1,1,0.07425800000000038,1057.0,1.0,100,1,0
2,1,0.07425800000000038,1018.0,3.0,100,1,1
3,1,0.07425800000000038,1047.0,4.0,100,1,2
4,1,0.07425800000000038,1042.0,5.0,100,1,3
5,1,0.07425800000000038,1022.0,7.0,100,1,4
6,1,0.07425800000000038,1034.0,8.0,100,1,5
7,1,0.07425800000000038,1024.0,10.0,100,1,6
8,1,0.07425800000000038,1041.0,11.0,100,1,7
9,1,0.07425800000000038,1079.0,12.0,100,1,8
10,1,0.07425800000000038,968.0,13.0,100,1,9
11,1,0.07425800000000038,1034.0,15.0,100,1,10
12,1,0.07425800000000038,1036.0,16.0,100,1,11
13,1,0.07425800000000038,1075.0,17.0,100,1,12
14,1,0.07425800000000038,998.0,18.0,100,1,13
15,1,0.07425800000000038,1009.0,20.0,100,1,14
16,1,0.07425800000000038,1020.0,21.0,100,1,15
17,1,0.07425800000000038,1033.0,22.0,100,1,16
18,1,0.07425800000000038,1041.0,24.0,100,1,17
19,1,0.07425800000000038,1031.0,26.0,100,1,18
20,1,0.07425800000000038,1078.0,27.0,100,1,19
21,1,0.07425800000000038,1095.0,28.0,100,1,20
22,1,0.07425800000000038,1064.0,29.0,100,1,21
23,1,0.07425800000000038,1033.0,30.0,100,1,22
24,1,0.07425800000000038,1008.0,31.0,100,1,23
25,1,0.07425800000000038,1021.0,33.0,100,1,24
26,1,0.07425800000000038,1058.0,34.0,100,1,25
27,1,0.07425800000000038,1055.0,35.0,100,1,26
28,1,0.07425800000000038,1052.0,37.0,100,1,27
29,1,0.07425800000000038,952.0,39.0,100,1,28
30,1,0.07425800000000038,1056.0,40.0,100,1,29
31,1,0.07425800000000038,1046.0,41.0,100,1,30
32,1,0.07425800000000038,1092.0,42.0,100,1,31
33,1,0.07425800000000038,1072.0,44.0,100,1,32
34,1,0.07425800000000038,1076.0,45.0,100,1,33
35,1,0.07425800000000038,1035.0,46.0,100,1,34
36,1,0.07425800000000038,1077.0,48.0,100,1,35
37,1,0.07425800000000038,1007.0,49.0,100,1,36
38,1,0.07425800000000038,1040.0,50.0,100,1,37
39,1,0.07425800000000038,1064.0,51.0,100,1,38
40,1,0.07425800000000038,1003.0,52.0,100,1,39
41,1,0.07425800000000038,1028.0,53.0,100,1,40
42,1,0.07425800000000038,1060.0,55.0,100,1,41
43,1,0.07425800000000038,1016.0,57.0,100,1,42
44,1,0.07425800000000038,1014.0,58.0,100,1,43
45,1,0.07425800000000038,1026.0,60.0,100,1,44
46,1,0.07425800000000038,1088.0,61.0,100,1,45
47,1,0.07425800000000038,1026.0,62.0,100,1,46
48,1,0.07425800000000038,1075.0,64.0,100,1,47
49,1,0.07425800000000038,988.0,66.0,100,1,48
50,1,0.07425800000000038,1031.0,67.0,100,1,49
51,1,0.07425800000000038,1000.0,69.0,100,1,50
52,1,0.07425800000000038,1095.0,70.0,100,1,51
53,1,0.07425800000000038,1080.0,71.0,100,1,52
54,1,0.07425800000000038,1017.0,72.0,100,1,53
55,1,0.07425800000000038,1052.0,73.0,100,1,54
56,1,0.07425800000000038,1042.0,75.0,100,1,55
57,1,0.07425800000000038,1054.0,76.0,100,1,56
58,1,0.07425800000000038,1043.0,78.0,100,1,57
59,1,0.07425800000000038,1044.0,79.0,100,1,58
60,1,0.07425800000000038,1007.0,81.0,100,1,59
61,1,0.07425800000000038,1063.0,82.0,100,1,60
62,1,0.07425800000000038,1029.0,83.0,100,1,61
63,1,0.07425800000000038,1086.0,84.0,100,1,62
64,1,0.07425800000000038,1014.0,86.0,100,1,63
65,1,0.07425800000000038,1024.0,88.0,100,1,64
66,1,0.07425800000000038,1034.0,89.0,100,1,65
67,1,0.07425800000000038,1028.0,90.0,100,1,66
68,1,0.07425800000000038,1058.0,91.0,100,1,67
69,1,0.07425800000000038,963.0,93.0,100,1,68
70,1,0.07425800000000038,1053.0,94.0,100,1,69
71,1,0.07425800000000038,998.0,96.0,100,1,70
72,1,0.07425800000000038,1002.0,98.0,100,1,71
73,1,0.07425800000000038,1010.0,99.0,100,1,72
74,1,0.07425800000000038,1011.0,100.0,100,1,73
75,1,0.07425800000000038,1014.0,102.0,100,1,74
76,1,0.07425800000000038,1071.0,103.0,100,1,75
77,1,0.07425800000000038,1050.0,105.0,100,1,76
78,1,0.07425800000000038,1066.0,106.0,100,1,77
79,1,0.07425800000000038,1034.0,107.0,100,1,78
80,1,0.07425800000000038,1021.0,108.0,100,1,79
81,1,0.07425800000000038,1031.0,110.0,100,1,80
82,1,0.07425800000000038,1049.0,111.0,100,1,81
83,1,0.07425800000000038,1058.0,112.0,100,1,82
84,1,0.07425800000000038,1027.0,113.0,100,1,83
85,1,0.07425800000000038,1018.0,114.0,100,1,84
86,1,0.07425800000000038,1061.0,116.0,100,1,85
87,1,0.07425800000000038,1017.0,117.0,100,1,86
88,1,0.07425800000000038,1043.0,118.0,100,1,87
89,1,0.07425800000000038,1078.0,119.0,100,1,88
90,1,0.07425800000000038,1028.0,120.0,100,1,89
91,1,0.07425800000000038,1062.0,122.0,100,1,90
92,1,0.07425800000000038,1004.0,123.0,100,1,91
93,1,0.07425800000000038,994.0,124.0,100,1,92
94,1,0.07425800000000038,1052.0,125.0,100,1,93
95,1,0.07425800000000038,1067.0,127.0,100,1,94
96,1,0.07425800000000038,1014.0,129.0,100,1,95
97,1,0.07425800000000038,1033.0,130.0,100,1,96
98,1,0.07425800000000038,1028.0,131.0,100,1,97
99,1,0.07425800000000038,1042.0,132.0,100,1,98
100,1,0.07425800000000038,993.0,133.0,100,1,99
101,1,0.07425800000000038,1032.0,134.0,100,1,100
