Population Size,Mutation Rate,max_iters,problem_size,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
10,0.5,10000,10,50,0,1719245389,0.11624804203165695,24.0,23.0,112,1248.0
10,0.5,10000,10,50,1,1719245389,0.13293766701826826,24.0,23.0,112,1248.0
10,0.5,10000,10,50,2,1719245389,0.10737891698954627,24.0,23.0,112,1248.0
10,0.5,10000,30,150,0,1719245390,1.689717459026724,84.0,82.0,622,6870.0
10,0.5,10000,30,150,1,1719245390,1.1007280420162715,84.0,82.0,622,6870.0
10,0.5,10000,30,150,2,1719245390,0.875957083015237,84.0,82.0,622,6870.0
10,0.5,10000,50,250,0,1719245395,5.7249756249948405,144.0,139.0,1312,14469.0
10,0.5,10000,50,250,1,1719245395,3.6980644169962034,144.0,139.0,1312,14469.0
10,0.5,10000,50,250,2,1719245395,3.7624319590395316,144.0,139.0,1312,14469.0
10,0.5,10000,100,500,0,1719245409,20.744026999978814,294.0,286.0,2421,26702.0
10,0.5,10000,100,500,1,1719245409,20.895346750039607,294.0,286.0,2421,26702.0
10,0.5,10000,100,500,2,1719245409,20.18628083297517,294.0,286.0,2421,26702.0
10,0.5,10000,200,1000,0,1719245472,76.62163483304903,594.0,585.0,9669,106498.0
10,0.5,10000,200,1000,1,1719245472,153.00010841700714,594.0,585.0,9669,106498.0
10,0.5,10000,200,1000,2,1719245472,178.9462285420159,594.0,585.0,9669,106498.0
