Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.0009641249999958745,57.0,0.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
1,0.020975749999990967,65.0,2.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
2,0.03487429199999781,65.0,3.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
3,0.050192416999990996,65.0,4.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
4,0.06624320799998884,66.0,6.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
5,0.08097966699999404,69.0,8.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
6,0.09635299999999347,69.0,9.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
7,0.11217020799999489,69.0,10.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
8,0.12718958299998917,69.0,11.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
9,0.14274570799999253,71.0,13.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
10,0.15738841699999284,73.0,15.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
11,0.1720795829999986,73.0,16.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
12,0.18732729199999198,73.0,17.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
13,0.20307345799999155,75.0,19.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
14,0.21773608299999125,77.0,21.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
15,0.2329388749999879,77.0,22.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
16,0.24665504200000044,81.0,24.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
17,0.2636302919999878,81.0,25.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
18,0.27872020799999575,81.0,26.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
19,0.2924225829999898,81.0,27.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
20,0.3079387919999874,83.0,29.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
21,0.32411216699999557,83.0,30.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
22,0.3404013329999884,83.0,31.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
23,0.3543655829999892,83.0,32.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
24,0.37186195799999666,83.0,33.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
25,0.38502649999999505,83.0,34.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
26,0.39735241699999335,83.0,35.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
27,0.4149481669999915,83.0,36.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
28,0.4325606249999936,83.0,37.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
29,0.4501409169999988,83.0,38.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
30,0.4666890419999987,83.0,39.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
31,0.48383887499998934,83.0,40.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
32,0.5011731669999904,83.0,41.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
33,0.5187838749999969,83.0,42.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
34,0.5369790829999914,83.0,43.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
35,0.5544992079999957,83.0,44.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
36,0.5714925829999942,83.0,45.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
37,0.5897452499999929,83.0,46.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
38,0.6064142919999966,83.0,47.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
39,0.6235116669999883,83.0,48.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
40,0.6410118329999932,83.0,49.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
41,0.6581264579999981,83.0,50.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
42,0.6760954169999991,83.0,51.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
43,0.6926934579999937,83.0,52.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
44,0.709946374999987,83.0,53.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
45,0.7267548329999869,83.0,54.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
46,0.7439859579999961,83.0,55.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
47,0.7613524579999904,83.0,56.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
48,0.7792585419999938,83.0,57.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
49,0.7957316249999877,83.0,58.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
50,0.8126777919999881,83.0,59.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
51,0.8289640419999955,83.0,60.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
52,0.8469669169999889,83.0,61.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
53,0.8639086249999934,83.0,62.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
54,0.8809006669999917,83.0,63.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
55,0.898122832999988,83.0,64.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
56,0.9154006249999895,83.0,65.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
57,0.9340328329999892,83.0,66.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
58,0.9517183329999881,83.0,67.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
59,0.9711480829999886,83.0,68.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
60,0.9895419169999968,83.0,69.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
61,1.009205707999996,83.0,70.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
62,1.0290849169999916,83.0,71.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
63,1.0487609169999956,83.0,72.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
64,1.0672858329999997,83.0,73.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
65,1.087337667,83.0,74.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
66,1.1074745829999983,83.0,75.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
67,1.127193707999993,83.0,76.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
68,1.1453244169999977,83.0,77.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
69,1.1637143749999979,83.0,78.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
70,1.1820462919999954,83.0,79.0,True,100,0.5,1000000000,0,0,100,1000000000.0,50,100,0.5
0,0.00024291700000844685,48.0,0.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
1,0.017964000000006308,64.0,2.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
2,0.0346906250000103,64.0,3.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
3,0.049981334000008815,64.0,4.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
4,0.06511945900000171,64.0,5.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
5,0.08021183400001064,64.0,6.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
6,0.09700558400000148,66.0,8.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
7,0.11144437500000492,70.0,10.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
8,0.12660162500000638,70.0,11.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
9,0.1420057500000098,70.0,12.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
10,0.15833583399999895,70.0,13.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
11,0.1729802090000021,72.0,15.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
12,0.18703658400001189,72.0,16.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
13,0.20153799999999933,73.0,18.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
14,0.2154966250000001,73.0,19.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
15,0.23026099999999872,73.0,20.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
16,0.24454929200000208,75.0,22.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
17,0.25794466700000385,75.0,23.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
18,0.2725683339999989,77.0,25.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
19,0.28684370900001,77.0,26.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
20,0.29968079200000375,77.0,27.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
21,0.31613541699999814,77.0,28.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
22,0.3329121670000035,77.0,29.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
23,0.3509704590000098,77.0,30.0,True,100,0.5,1000000000,0,1,100,1000000000.0,50,100,0.5
