Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.0038914769975235686,516.0,0.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
1,3.774626618993352,548.0,2.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
2,7.288213299994823,548.0,3.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
3,10.96444064899697,548.0,4.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
4,14.62576510499639,551.0,6.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
5,18.756005224000546,551.0,7.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
6,22.84078047899675,556.0,9.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
7,26.456906223997066,556.0,10.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
8,31.10708618100034,557.0,12.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
9,36.29286386599415,571.0,14.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
10,40.048629855999025,576.0,16.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
11,44.352121052994335,576.0,17.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
12,48.85568502899696,576.0,18.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
13,53.342203709995374,579.0,20.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
14,57.664660894995905,586.0,22.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
15,61.868828134996875,597.0,24.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
16,66.77220750799461,603.0,26.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
17,72.2519751660002,603.0,27.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
18,78.9629924999972,609.0,29.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
19,84.77451463499892,612.0,31.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
20,89.14063311499922,613.0,33.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
21,94.47978295299981,619.0,35.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
22,99.53611980999995,627.0,37.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
23,103.7010467,633.0,39.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
24,108.02123753199703,635.0,41.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
25,112.40489776599861,637.0,43.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
26,116.42031442099687,649.0,45.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
27,120.61213537099684,649.0,46.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
28,124.90489856399654,657.0,48.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
29,128.9495415229976,659.0,50.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
30,132.86468705299922,661.0,52.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
31,136.95702194999467,665.0,54.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
32,140.72572890399897,665.0,55.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
33,145.04959120499552,669.0,57.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
34,149.57082662199537,669.0,58.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
35,153.5748984269958,681.0,60.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
36,158.40387373900012,683.0,62.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
37,163.92707439199876,683.0,63.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
38,168.26060838999547,687.0,65.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
39,171.40426649899746,689.0,67.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
40,173.84468336999998,693.0,69.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
41,177.29095032599434,693.0,70.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
42,179.77556223599822,695.0,72.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
43,183.2907427559985,697.0,74.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
44,186.931812609997,701.0,76.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
45,190.19990878200042,701.0,77.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
46,193.64614967599482,701.0,78.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
47,197.82469329000014,701.0,79.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
48,201.41531503099395,703.0,81.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
49,204.61245951399906,703.0,82.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
50,209.85847297699365,703.0,83.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
51,215.24995009099803,703.0,84.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
52,217.8418573309973,703.0,85.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
53,222.23116316099913,703.0,86.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
54,226.58234891899338,703.0,87.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
55,230.970863894996,703.0,88.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
56,235.61752014399826,703.0,89.0,True,100,0.5,1000,0,0,1000,1000,100,100,0.5
