,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00047721499959152425,10.0,0.0,10000.0,1000
1,1,0.009337516000414325,10.0,2.0,10000.0,1000
2,2,0.009628122999856714,10.0,4.0,10000.0,1000
3,3,0.00988680899990868,10.0,6.0,10000.0,1000
4,4,0.010154382000109763,10.0,8.0,10000.0,1000
5,5,0.010414430999844626,10.0,10.0,10000.0,1000
6,6,0.010670071000276948,10.0,12.0,10000.0,1000
7,7,0.01093050100007531,10.0,14.0,10000.0,1000
8,8,0.011193915999683668,10.0,16.0,10000.0,1000
9,9,0.01144133999969199,10.0,18.0,10000.0,1000
10,10,0.01167828500001633,10.0,20.0,10000.0,1000
11,11,0.011914026999875205,10.0,22.0,10000.0,1000
12,12,0.012159988000348676,10.0,24.0,10000.0,1000
13,13,0.01239185299982637,10.0,26.0,10000.0,1000
14,14,0.012624668999706046,10.0,28.0,10000.0,1000
15,15,0.012848028000007616,10.0,30.0,10000.0,1000
16,16,0.013070725000034145,10.0,32.0,10000.0,1000
17,17,0.013363625999772921,10.0,34.0,10000.0,1000
18,18,0.013599648999843339,10.0,36.0,10000.0,1000
19,19,0.01383109299968055,10.0,38.0,10000.0,1000
20,20,0.014065893000406504,10.0,40.0,10000.0,1000
21,21,0.01430004200028634,10.0,42.0,10000.0,1000
22,22,0.014534281000123883,10.0,44.0,10000.0,1000
23,23,0.014777577999666391,10.0,46.0,10000.0,1000
24,24,0.015124493000257644,10.0,48.0,10000.0,1000
25,25,0.015389651999612397,10.0,50.0,10000.0,1000
26,26,0.015636604999599513,10.0,52.0,10000.0,1000
27,27,0.015878488999987894,10.0,54.0,10000.0,1000
28,28,0.01611442099965643,10.0,56.0,10000.0,1000
29,29,0.016359150999960548,10.0,58.0,10000.0,1000
30,30,0.0166106229999059,10.0,60.0,10000.0,1000
31,31,0.01686976000019058,10.0,62.0,10000.0,1000
32,32,0.017173471999740286,10.0,64.0,10000.0,1000
33,33,0.01745358900006977,10.0,66.0,10000.0,1000
34,34,0.017724178000207758,10.0,68.0,10000.0,1000
35,35,0.018002451999564073,10.0,70.0,10000.0,1000
36,36,0.018280494999999064,9.0,72.0,10000.0,1000
37,37,0.018563417999757803,9.0,74.0,10000.0,1000
38,38,0.018839207000382885,9.0,76.0,10000.0,1000
39,39,0.01911749000009877,9.0,78.0,10000.0,1000
40,40,0.019381856999643787,9.0,80.0,10000.0,1000
41,41,0.019641996000245854,9.0,82.0,10000.0,1000
42,42,0.01990122299957875,8.0,84.0,10000.0,1000
43,43,0.02015036099965073,8.0,86.0,10000.0,1000
44,44,0.02039814599993406,8.0,88.0,10000.0,1000
45,45,0.02065604000017629,8.0,90.0,10000.0,1000
46,46,0.02091168100014329,8.0,92.0,10000.0,1000
47,47,0.02120208799988177,8.0,94.0,10000.0,1000
48,48,0.021476934999554942,8.0,96.0,10000.0,1000
49,49,0.021885928999836324,8.0,98.0,10000.0,1000
50,50,0.022155065000333707,8.0,100.0,10000.0,1000
51,51,0.022408189999623573,8.0,102.0,10000.0,1000
52,52,0.022662788999696204,8.0,104.0,10000.0,1000
