Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,keep_percent
0,0.09478362499999982,12.0,1000.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
1,0.1905617080000006,3.0,2002.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
2,0.282075583000001,3.0,3003.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
3,0.3740864160000008,3.0,4004.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
4,0.4642284580000009,2.0,5006.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
5,0.5545556250000008,2.0,6007.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
6,0.6454587910000011,1.0,7009.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
7,0.7350089999999998,1.0,8010.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
8,0.8248893329999998,1.0,9011.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
9,0.9133812080000006,1.0,10012.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
10,1.0008964159999998,1.0,11013.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
11,1.088399333,1.0,12014.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
12,1.1827679160000013,1.0,13015.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
13,1.2718257500000014,1.0,14016.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
14,1.365710958000001,1.0,15017.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
15,1.4608100000000004,1.0,16018.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
16,1.554920708000001,1.0,17019.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
17,1.6503623750000003,1.0,18020.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
18,1.7447373329999998,1.0,19021.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
19,1.839258708000001,1.0,20022.0,True,1000,0.25,1000,0,0,10,1000,100,1000,0.25
