,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
197,197,1.9435585320006794,684.5703936963318,20006.0,100,0.9,10000
198,198,1.9531051160010975,684.5703936963318,20107.0,100,0.9,10000
199,199,1.9626555280010507,684.5703936963318,20208.0,100,0.9,10000
200,200,1.9721519169997919,684.5703936963318,20309.0,100,0.9,10000
201,201,1.9817564530003438,684.5703936963318,20410.0,100,0.9,10000
202,202,1.9928580129999318,684.5703936963318,20511.0,100,0.9,10000
203,203,2.006019368000125,684.5703936963318,20612.0,100,0.9,10000
204,204,2.015650604000257,684.5703936963318,20713.0,100,0.9,10000
205,205,2.0251233680010046,684.5703936963318,20814.0,100,0.9,10000
206,206,2.0345258489996922,684.5703936963318,20915.0,100,0.9,10000
207,207,2.0440108069997223,684.5703936963318,21016.0,100,0.9,10000
208,208,2.053572561000692,684.5703936963318,21117.0,100,0.9,10000
209,209,2.0630510360006156,684.5703936963318,21218.0,100,0.9,10000
210,210,2.0726880929996696,684.5703936963318,21319.0,100,0.9,10000
211,211,2.082275574999585,684.5703936963318,21420.0,100,0.9,10000
212,212,2.0918264980009553,684.5703936963318,21521.0,100,0.9,10000
213,213,2.1014897549994203,684.5703936963318,21622.0,100,0.9,10000
214,214,2.1110944299998664,684.5703936963318,21723.0,100,0.9,10000
215,215,2.120852336000098,684.5703936963318,21824.0,100,0.9,10000
216,216,2.1304190190003283,684.5703936963318,21925.0,100,0.9,10000
217,217,2.1400130840011116,684.5703936963318,22026.0,100,0.9,10000
218,218,2.149588324000433,684.5703936963318,22127.0,100,0.9,10000
219,219,2.159132533999582,684.5703936963318,22228.0,100,0.9,10000
220,220,2.168583597000179,684.5703936963318,22329.0,100,0.9,10000
221,221,2.178088963999471,684.5703936963318,22430.0,100,0.9,10000
222,222,2.1876099100009014,684.5703936963318,22531.0,100,0.9,10000
223,223,2.1971313369995187,684.5703936963318,22632.0,100,0.9,10000
224,224,2.206631183000354,684.5703936963318,22733.0,100,0.9,10000
225,225,2.2161630390000937,684.5703936963318,22834.0,100,0.9,10000
226,226,2.2257249530011904,684.5703936963318,22935.0,100,0.9,10000
227,227,2.2352010539998446,684.5703936963318,23036.0,100,0.9,10000
228,228,2.244840254999872,684.5703936963318,23137.0,100,0.9,10000
229,229,2.2543314739996276,684.5703936963318,23238.0,100,0.9,10000
230,230,2.2637776379997376,684.5703936963318,23339.0,100,0.9,10000
231,231,2.2733641390004777,684.5703936963318,23440.0,100,0.9,10000
232,232,2.2828863070008083,684.5703936963318,23541.0,100,0.9,10000
233,233,2.292447280000488,684.5703936963318,23642.0,100,0.9,10000
234,234,2.3021390100002463,684.5703936963318,23743.0,100,0.9,10000
235,235,2.311784052000803,684.5703936963318,23844.0,100,0.9,10000
236,236,2.3213823750011215,684.5703936963318,23945.0,100,0.9,10000
237,237,2.330965389000994,684.5703936963318,24046.0,100,0.9,10000
238,238,2.3405174640010955,684.5703936963318,24147.0,100,0.9,10000
239,239,2.3501857410010416,684.5703936963318,24248.0,100,0.9,10000
240,240,2.3597077890008222,684.5703936963318,24349.0,100,0.9,10000
241,241,2.3694258089999494,684.5703936963318,24450.0,100,0.9,10000
242,242,2.3789909389997774,684.5703936963318,24551.0,100,0.9,10000
243,243,2.3884155619998637,684.5703936963318,24652.0,100,0.9,10000
244,244,2.397702763999405,684.5703936963318,24753.0,100,0.9,10000
245,245,2.4069260340002074,684.5703936963318,24854.0,100,0.9,10000
246,246,2.4162393560000055,684.5703936963318,24955.0,100,0.9,10000
247,247,2.4254690279994975,684.5703936963318,25056.0,100,0.9,10000
248,248,2.4347048720010207,684.5703936963318,25157.0,100,0.9,10000
249,249,2.444055866000781,684.5703936963318,25258.0,100,0.9,10000
250,250,2.4533853180000733,684.5703936963318,25359.0,100,0.9,10000
251,251,2.4626887300000817,684.5703936963318,25460.0,100,0.9,10000
252,252,2.471948088999852,684.5703936963318,25561.0,100,0.9,10000
253,253,2.4811835620002967,684.5703936963318,25662.0,100,0.9,10000
254,254,2.4903457569998864,684.5703936963318,25763.0,100,0.9,10000
255,255,2.4995590680009627,684.5703936963318,25864.0,100,0.9,10000
256,256,2.5088133570006903,684.5703936963318,25965.0,100,0.9,10000
257,257,2.5181514659998356,684.5703936963318,26066.0,100,0.9,10000
258,258,2.5274652379994222,684.5703936963318,26167.0,100,0.9,10000
259,259,2.5367597740005294,684.5703936963318,26268.0,100,0.9,10000
260,260,2.5459829539995553,684.5703936963318,26369.0,100,0.9,10000
261,261,2.555268051000894,684.5703936963318,26470.0,100,0.9,10000
262,262,2.5644698810010595,684.5703936963318,26571.0,100,0.9,10000
263,263,2.5737291500008723,684.5703936963318,26672.0,100,0.9,10000
264,264,2.5829891100001987,684.5703936963318,26773.0,100,0.9,10000
265,265,2.592241255000772,684.5703936963318,26874.0,100,0.9,10000
266,266,2.601502557999993,684.5703936963318,26975.0,100,0.9,10000
267,267,2.6106326610006363,684.5703936963318,27076.0,100,0.9,10000
268,268,2.619876490000024,684.5703936963318,27177.0,100,0.9,10000
269,269,2.6291414799998165,684.5703936963318,27278.0,100,0.9,10000
270,270,2.638375309999901,684.5703936963318,27379.0,100,0.9,10000
271,271,2.6475470519999362,684.5703936963318,27480.0,100,0.9,10000
272,272,2.656806492001124,684.5703936963318,27581.0,100,0.9,10000
273,273,2.6660337800003617,684.5703936963318,27682.0,100,0.9,10000
274,274,2.675278311000511,684.5703936963318,27783.0,100,0.9,10000
275,275,2.684430687000713,684.5703936963318,27884.0,100,0.9,10000
276,276,2.693740823000553,684.5703936963318,27985.0,100,0.9,10000
277,277,2.7029677700011234,684.5703936963318,28086.0,100,0.9,10000
278,278,2.7122383109999646,684.5703936963318,28187.0,100,0.9,10000
279,279,2.721668624999438,684.5703936963318,28288.0,100,0.9,10000
280,280,2.7309947409994493,684.5703936963318,28389.0,100,0.9,10000
281,281,2.7402570960002777,684.5703936963318,28490.0,100,0.9,10000
282,282,2.749544878999586,684.5703936963318,28591.0,100,0.9,10000
283,283,2.7587315809996653,684.5703936963318,28692.0,100,0.9,10000
284,284,2.7680554729995492,684.5703936963318,28793.0,100,0.9,10000
285,285,2.7773683440009336,684.5703936963318,28894.0,100,0.9,10000
286,286,2.786669883000286,684.5703936963318,28995.0,100,0.9,10000
287,287,2.7959143440002663,684.5703936963318,29096.0,100,0.9,10000
288,288,2.805124500000602,684.5703936963318,29197.0,100,0.9,10000
289,289,2.8143227330001537,684.5703936963318,29298.0,100,0.9,10000
290,290,2.8235272180008906,684.5703936963318,29399.0,100,0.9,10000
