,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,1433.26174126467,0,0.00019833899932564236,"[3, 5, 1, 2, 9, 8, 0, 6, 7, 4]",100,10000,0
1,10000,697.6207496030206,1134,0.20738260299913236,"[5, 9, 1, 4, 8, 0, 2, 6, 3, 7]",100,10000,0
2,0,1567.085239640782,1134,0.2162971750003635,"[4, 5, 8, 0, 2, 1, 3, 6, 9, 7]",100,10000,1
3,10000,684.5703936963318,2287,0.737614121997467,"[4, 8, 0, 2, 6, 7, 5, 3, 9, 1]",100,10000,1
4,0,1334.824130872903,2287,0.7519833669975924,"[5, 3, 2, 4, 1, 8, 9, 0, 7, 6]",100,10000,2
5,10000,684.5703936963318,3379,1.5350807449976855,"[5, 3, 9, 1, 4, 8, 0, 2, 6, 7]",100,10000,2
6,0,1399.7766548324605,3379,1.5543666429985024,"[6, 2, 4, 8, 7, 9, 3, 1, 0, 5]",100,10000,3
7,10000,684.5703936963318,4497,2.656278559999919,"[2, 6, 7, 5, 3, 9, 1, 4, 8, 0]",100,10000,3
8,0,1499.0216240313534,4497,2.680691649999062,"[9, 1, 0, 7, 5, 6, 4, 3, 8, 2]",100,10000,4
9,10000,684.5703936963318,5730,4.24016817699885,"[5, 3, 9, 1, 4, 8, 0, 2, 6, 7]",100,10000,4
10,0,1456.8723512220204,5730,4.270644511998398,"[7, 5, 1, 6, 9, 0, 2, 3, 4, 8]",100,10000,5
11,10000,844.7910599666598,6791,5.888465001000441,"[5, 9, 1, 4, 8, 3, 0, 2, 6, 7]",100,10000,5
12,0,1250.1827676642154,6791,5.923338939999667,"[4, 3, 7, 2, 5, 9, 1, 8, 6, 0]",100,10000,6
13,10000,697.6207496030207,8060,8.210960590997274,"[8, 4, 1, 9, 5, 7, 3, 6, 2, 0]",100,10000,6
14,0,1394.6721907730112,8060,8.252455284000462,"[9, 6, 3, 5, 7, 8, 2, 1, 4, 0]",100,10000,7
15,10000,684.570393696332,9282,10.787359668000136,"[1, 9, 3, 5, 7, 6, 2, 0, 8, 4]",100,10000,7
16,0,1211.1673301235628,9282,10.833546325997304,"[8, 3, 7, 4, 2, 6, 5, 9, 1, 0]",100,10000,8
17,10000,684.5703936963318,10381,13.462240856999415,"[3, 5, 7, 6, 2, 0, 8, 4, 1, 9]",100,10000,8
18,0,1131.4286720422085,10381,13.513440901999275,"[1, 6, 2, 0, 7, 8, 4, 5, 3, 9]",100,10000,9
