,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,1400.9252885718133,100,0.003188919999956852,"[4, 1, 5, 0, 7, 2, 3, 6, 9, 8]",100,0.9,10000
1,10000,684.5703936963318,107977,10.50660056400011,"[0, 8, 4, 1, 9, 3, 5, 7, 6, 2]",100,0.9,10000
