,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
62,62,1.1277588330000015,802.9493764839677,6367.0,True,100,0.9,500
63,63,1.146027833000005,802.9493764839677,6468.0,True,100,0.9,500
64,64,1.164391041000016,802.9493764839677,6569.0,True,100,0.9,500
65,65,1.1825823329999992,802.9493764839677,6670.0,True,100,0.9,500
66,66,1.2006972910000115,802.9493764839677,6771.0,True,100,0.9,500
67,67,1.2187939160000099,802.9493764839677,6872.0,True,100,0.9,500
68,68,1.236933291000014,802.9493764839677,6973.0,True,100,0.9,500
69,69,1.255073791000001,802.9493764839677,7074.0,True,100,0.9,500
70,70,1.2736864160000039,802.9493764839677,7175.0,True,100,0.9,500
71,71,1.2913774579999995,802.9493764839677,7276.0,True,100,0.9,500
72,72,1.3091422910000006,802.9493764839677,7377.0,True,100,0.9,500
73,73,1.326866458000012,802.9493764839677,7478.0,True,100,0.9,500
74,74,1.3447565000000168,802.9493764839677,7579.0,True,100,0.9,500
75,75,1.3625766659999954,802.9493764839677,7680.0,True,100,0.9,500
76,76,1.380300707999993,802.9493764839677,7781.0,True,100,0.9,500
77,77,1.3978937910000013,802.9493764839677,7882.0,True,100,0.9,500
78,78,1.4157526250000103,802.9493764839677,7983.0,True,100,0.9,500
79,79,1.4335210830000165,802.9493764839677,8084.0,True,100,0.9,500
80,80,1.4513932499999953,802.9493764839677,8185.0,True,100,0.9,500
81,81,1.4692462499999976,802.9493764839677,8286.0,True,100,0.9,500
82,82,1.487458083000007,802.9493764839677,8387.0,True,100,0.9,500
83,83,1.5052065830000174,802.9493764839677,8488.0,True,100,0.9,500
84,84,1.523080415999999,802.9493764839677,8589.0,True,100,0.9,500
85,85,1.5410789580000142,802.9493764839677,8690.0,True,100,0.9,500
86,86,1.5588131250000004,802.9493764839677,8791.0,True,100,0.9,500
87,87,1.5763151660000005,802.9493764839677,8892.0,True,100,0.9,500
88,88,1.5939209160000019,802.9493764839677,8993.0,True,100,0.9,500
89,89,1.6116335000000106,802.9493764839677,9094.0,True,100,0.9,500
90,90,1.6293751660000169,802.9493764839677,9195.0,True,100,0.9,500
91,91,1.6472510830000147,802.9493764839677,9296.0,True,100,0.9,500
92,92,1.6652390410000066,802.9493764839677,9397.0,True,100,0.9,500
93,93,1.682926957999996,802.9493764839677,9498.0,True,100,0.9,500
94,94,1.700720208000007,802.9493764839677,9599.0,True,100,0.9,500
95,95,1.7185511250000047,802.9493764839677,9700.0,True,100,0.9,500
96,96,1.7361860830000069,802.9493764839677,9801.0,True,100,0.9,500
97,97,1.7539132910000035,802.9493764839677,9902.0,True,100,0.9,500
98,98,1.771680625000016,802.9493764839677,10003.0,True,100,0.9,500
99,99,1.789457208000016,802.9493764839677,10104.0,True,100,0.9,500
100,100,1.8072229999999934,802.9493764839677,10205.0,True,100,0.9,500
101,101,1.8249286250000125,802.9493764839677,10306.0,True,100,0.9,500
102,102,1.8426415000000134,802.9493764839677,10407.0,True,100,0.9,500
103,103,1.8603047910000043,802.9493764839677,10508.0,True,100,0.9,500
104,104,1.8780742910000185,802.9493764839677,10609.0,True,100,0.9,500
105,105,1.8956782500000031,802.9493764839677,10710.0,True,100,0.9,500
106,106,1.9132582910000053,802.9493764839677,10811.0,True,100,0.9,500
107,107,1.930808791000004,802.9493764839677,10912.0,True,100,0.9,500
108,108,1.9483705410000027,802.9493764839677,11013.0,True,100,0.9,500
109,109,1.9665324160000068,802.9493764839677,11114.0,True,100,0.9,500
110,110,1.985022583000017,802.9493764839677,11215.0,True,100,0.9,500
111,111,2.0035821250000083,802.9493764839677,11316.0,True,100,0.9,500
112,112,2.021898125000007,802.9493764839677,11417.0,True,100,0.9,500
113,113,2.039908708000013,802.9493764839677,11518.0,True,100,0.9,500
114,114,2.057885083000002,802.9493764839677,11619.0,True,100,0.9,500
115,115,2.075621833000014,802.9493764839677,11720.0,True,100,0.9,500
116,116,2.0932287910000014,802.9493764839677,11821.0,True,100,0.9,500
117,117,2.1108790000000113,802.9493764839677,11922.0,True,100,0.9,500
118,118,2.1288136660000134,802.9493764839677,12023.0,True,100,0.9,500
119,119,2.1465310830000135,802.9493764839677,12124.0,True,100,0.9,500
120,120,2.1646895000000086,802.9493764839677,12225.0,True,100,0.9,500
121,121,2.1823866660000135,802.9493764839677,12326.0,True,100,0.9,500
122,122,2.1997623329999954,802.9493764839677,12427.0,True,100,0.9,500
123,123,2.217282166000018,802.9493764839677,12528.0,True,100,0.9,500
124,124,2.234786583000016,802.9493764839677,12629.0,True,100,0.9,500
125,125,2.2522159160000115,802.9493764839677,12730.0,True,100,0.9,500
126,126,2.2697412079999992,802.9493764839677,12831.0,True,100,0.9,500
127,127,2.287147916000009,802.9493764839677,12932.0,True,100,0.9,500
128,128,2.3045969160000084,802.9493764839677,13033.0,True,100,0.9,500
129,129,2.322082375000008,802.9493764839677,13134.0,True,100,0.9,500
130,130,2.3394188329999963,802.9493764839677,13235.0,True,100,0.9,500
131,131,2.356826208000001,802.9493764839677,13336.0,True,100,0.9,500
132,132,2.3743744580000055,802.9493764839677,13437.0,True,100,0.9,500
133,133,2.391845458000006,802.9493764839677,13538.0,True,100,0.9,500
134,134,2.4092711659999964,802.9493764839677,13639.0,True,100,0.9,500
135,135,2.4266889160000176,802.9493764839677,13740.0,True,100,0.9,500
136,136,2.444151416000011,802.9493764839677,13841.0,True,100,0.9,500
137,137,2.4621529580000185,802.9493764839677,13942.0,True,100,0.9,500
138,138,2.479965082999996,802.9493764839677,14043.0,True,100,0.9,500
139,139,2.497782583000003,802.9493764839677,14144.0,True,100,0.9,500
140,140,2.5155102909999982,802.9493764839677,14245.0,True,100,0.9,500
141,141,2.533424291000017,802.9493764839677,14346.0,True,100,0.9,500
142,142,2.5511057909999977,802.9493764839677,14447.0,True,100,0.9,500
143,143,2.568720000000013,802.9493764839677,14548.0,True,100,0.9,500
144,144,2.5867839999999944,802.9493764839677,14649.0,True,100,0.9,500
145,145,2.604523040999993,802.9493764839677,14750.0,True,100,0.9,500
146,146,2.6223355829999946,802.9493764839677,14851.0,True,100,0.9,500
147,147,2.6400741250000124,802.9493764839677,14952.0,True,100,0.9,500
148,148,2.6578417080000065,802.9493764839677,15053.0,True,100,0.9,500
149,149,2.6758241660000124,802.9493764839677,15154.0,True,100,0.9,500
150,150,2.693493458000006,802.9493764839677,15255.0,True,100,0.9,500
151,151,2.710959166000009,802.9493764839677,15356.0,True,100,0.9,500
152,152,2.728496457999995,802.9493764839677,15457.0,True,100,0.9,500
153,153,2.745985625000003,802.9493764839677,15558.0,True,100,0.9,500
154,154,2.7634010410000087,802.9493764839677,15659.0,True,100,0.9,500
155,155,2.7808899160000067,802.9493764839677,15760.0,True,100,0.9,500
156,156,2.7982386250000104,802.9493764839677,15861.0,True,100,0.9,500
157,157,2.815615916000013,802.9493764839677,15962.0,True,100,0.9,500
158,158,2.832874958000019,802.9493764839677,16063.0,True,100,0.9,500
159,159,2.850476165999993,802.9493764839677,16164.0,True,100,0.9,500
160,160,2.8680160830000148,802.9493764839677,16265.0,True,100,0.9,500
161,161,2.8854682500000024,802.9493764839677,16366.0,True,100,0.9,500
162,162,2.9030347500000175,802.9493764839677,16467.0,True,100,0.9,500
163,163,2.920905083000008,802.9493764839677,16568.0,True,100,0.9,500
164,164,2.9383035829999926,802.9493764839677,16669.0,True,100,0.9,500
165,165,2.9556410830000175,802.9493764839677,16770.0,True,100,0.9,500
166,166,2.9730828330000065,802.9493764839677,16871.0,True,100,0.9,500
167,167,2.990422332999998,802.9493764839677,16972.0,True,100,0.9,500
168,168,3.0080014160000133,802.9493764839677,17073.0,True,100,0.9,500
169,169,3.025464458000016,802.9493764839677,17174.0,True,100,0.9,500
170,170,3.042866375000017,802.9493764839677,17275.0,True,100,0.9,500
171,171,3.0606159579999996,802.9493764839677,17376.0,True,100,0.9,500
172,172,3.078545915999996,802.9493764839677,17477.0,True,100,0.9,500
173,173,3.097027499999996,802.9493764839677,17578.0,True,100,0.9,500
174,174,3.1158975410000096,802.9493764839677,17679.0,True,100,0.9,500
175,175,3.1352460410000162,802.9493764839677,17780.0,True,100,0.9,500
176,176,3.1540288749999945,802.9493764839677,17881.0,True,100,0.9,500
177,177,3.172819790999995,802.9493764839677,17982.0,True,100,0.9,500
178,178,3.1909127080000133,802.9493764839677,18083.0,True,100,0.9,500
179,179,3.2093757499999924,802.9493764839677,18184.0,True,100,0.9,500
180,180,3.2273666659999947,802.9493764839677,18285.0,True,100,0.9,500
181,181,3.245160333000001,802.9493764839677,18386.0,True,100,0.9,500
182,182,3.262954750000006,802.9493764839677,18487.0,True,100,0.9,500
183,183,3.2810674160000133,802.9493764839677,18588.0,True,100,0.9,500
184,184,3.298869625000009,802.9493764839677,18689.0,True,100,0.9,500
185,185,3.316670415999994,802.9493764839677,18790.0,True,100,0.9,500
186,186,3.334319249999993,802.9493764839677,18891.0,True,100,0.9,500
187,187,3.3520877500000097,802.9493764839677,18992.0,True,100,0.9,500
188,188,3.370012250000002,802.9493764839677,19093.0,True,100,0.9,500
189,189,3.387654208000015,802.9493764839677,19194.0,True,100,0.9,500
190,190,3.4056491660000177,802.9493764839677,19295.0,True,100,0.9,500
191,191,3.423417083000004,802.9493764839677,19396.0,True,100,0.9,500
192,192,3.4414392909999947,802.9493764839677,19497.0,True,100,0.9,500
193,193,3.459439916000008,802.9493764839677,19598.0,True,100,0.9,500
194,194,3.4782119159999922,802.9493764839677,19699.0,True,100,0.9,500
195,195,3.4966348330000017,802.9493764839677,19800.0,True,100,0.9,500
196,196,3.5144390830000134,802.9493764839677,19901.0,True,100,0.9,500
197,197,3.53187354100001,802.9493764839677,20002.0,True,100,0.9,500
198,198,3.549240083000001,802.9493764839677,20103.0,True,100,0.9,500
199,199,3.5668398330000173,802.9493764839677,20204.0,True,100,0.9,500
200,200,3.5843247910000002,802.9493764839677,20305.0,True,100,0.9,500
201,201,3.6016765829999997,802.9493764839677,20406.0,True,100,0.9,500
202,202,3.6190099579999924,802.9493764839677,20507.0,True,100,0.9,500
203,203,3.6365264160000095,802.9493764839677,20608.0,True,100,0.9,500
204,204,3.6540027080000073,802.9493764839677,20709.0,True,100,0.9,500
205,205,3.671379833000003,802.9493764839677,20810.0,True,100,0.9,500
206,206,3.688893957999994,802.9493764839677,20911.0,True,100,0.9,500
207,207,3.706298083000007,802.9493764839677,21012.0,True,100,0.9,500
208,208,3.7236195000000123,802.9493764839677,21113.0,True,100,0.9,500
209,209,3.740911874999995,802.9493764839677,21214.0,True,100,0.9,500
210,210,3.75821666600001,802.9493764839677,21315.0,True,100,0.9,500
211,211,3.7757054580000045,802.9493764839677,21416.0,True,100,0.9,500
212,212,3.7932330830000183,802.9493764839677,21517.0,True,100,0.9,500
213,213,3.810588999999993,802.9493764839677,21618.0,True,100,0.9,500
214,214,3.827941416000016,802.9493764839677,21719.0,True,100,0.9,500
215,215,3.845312457999995,802.9493764839677,21820.0,True,100,0.9,500
216,216,3.8626917500000104,802.9493764839677,21921.0,True,100,0.9,500
217,217,3.880187625000019,802.9493764839677,22022.0,True,100,0.9,500
218,218,3.8975599580000164,802.9493764839677,22123.0,True,100,0.9,500
219,219,3.9148872499999925,802.9493764839677,22224.0,True,100,0.9,500
220,220,3.932186958000017,802.9493764839677,22325.0,True,100,0.9,500
221,221,3.9498329160000196,802.9493764839677,22426.0,True,100,0.9,500
222,222,3.9672618750000197,802.9493764839677,22527.0,True,100,0.9,500
223,223,3.9847193749999974,802.9493764839677,22628.0,True,100,0.9,500
224,224,4.002183166000009,802.9493764839677,22729.0,True,100,0.9,500
225,225,4.01952616600002,802.9493764839677,22830.0,True,100,0.9,500
226,226,4.036962208000006,802.9493764839677,22931.0,True,100,0.9,500
