Temperature,max_iters,problem_size,t_pct,decay_type,max_attempts,run_number,group_timestamp,total_runtime,optimal_fitness,max_fitness,total_iterations,max_fevals
10,1000,10,0.4,ExpDecay,1000000000.0,0,1719007945,0.1112520000024233,15.0,15.0,1000,1221.0
10,1000,10,0.4,ExpDecay,1000000000.0,1,1719007945,0.10055412497604266,15.0,15.0,1000,1221.0
10,1000,10,0.4,ExpDecay,1000000000.0,2,1719007945,0.09866737498668954,15.0,15.0,1000,1221.0
10,3000,30,0.4,ExpDecay,1000000000.0,0,1719007946,0.768636749999132,47.0,30.0,3000,3940.0
10,3000,30,0.4,ExpDecay,1000000000.0,1,1719007946,0.7530812920012977,47.0,30.0,3000,3940.0
10,3000,30,0.4,ExpDecay,1000000000.0,2,1719007946,0.7485802499868441,47.0,30.0,3000,3940.0
10,5000,50,0.4,ExpDecay,1000000000.0,0,1719007950,2.0505763340042904,79.0,50.0,5000,7002.0
10,5000,50,0.4,ExpDecay,1000000000.0,1,1719007950,2.067502665973734,79.0,50.0,5000,7002.0
10,5000,50,0.4,ExpDecay,1000000000.0,2,1719007950,2.013932708010543,79.0,50.0,5000,7002.0
10,10000,100,0.4,ExpDecay,1000000000.0,0,1719007957,7.968158000003314,159.0,100.0,10000,15453.0
10,10000,100,0.4,ExpDecay,1000000000.0,1,1719007957,8.024884625017876,159.0,100.0,10000,15453.0
10,10000,100,0.4,ExpDecay,1000000000.0,2,1719007957,7.941515375016024,159.0,100.0,10000,15453.0
10,20000,200,0.4,ExpDecay,1000000000.0,0,1719007982,32.17373379098717,319.0,190.0,20000,35479.0
10,20000,200,0.4,ExpDecay,1000000000.0,1,1719007982,32.44998158299131,319.0,190.0,20000,35479.0
10,20000,200,0.4,ExpDecay,1000000000.0,2,1719007982,32.75134524999885,319.0,190.0,20000,35479.0
10,50000,500,0.4,ExpDecay,1000000000.0,0,1719008081,212.53801995899994,799.0,175.0,50000,93335.0
10,50000,500,0.4,ExpDecay,1000000000.0,1,1719008081,228.13852595799835,799.0,175.0,50000,93335.0
10,50000,500,0.4,ExpDecay,1000000000.0,2,1719008081,236.10618070801138,799.0,175.0,50000,93335.0
