Temperature,Decay Type,Best Fitness Mean,Best Time Mean,Best FEvals Mean,Best Iterations Mean
1,ArithDecay,30.00,8.32,1629,1298
1,ExpDecay,30.00,8.21,897,630
1,GeomDecay,30.00,8.22,897,630
10,ArithDecay,30.00,8.30,17933,9311
10,ExpDecay,30.00,8.16,5527,3204
10,GeomDecay,30.00,8.26,5527,3204
100,ArithDecay,12.00,8.37,19909,9996
100,ExpDecay,30.00,8.35,8513,4532
100,GeomDecay,30.00,8.24,8513,4532
1000,ArithDecay,7.00,8.35,13269,6635
1000,ExpDecay,30.00,8.36,10786,5777
1000,GeomDecay,30.00,8.38,10786,5777
10000,ArithDecay,6.00,8.43,1132,566
10000,ExpDecay,30.00,8.31,11815,6167
10000,GeomDecay,30.00,8.19,11815,6167
