Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,mutation_rate
0,0.0037227299999358365,1298.551899183571,100.0,100,0.25,1000,0,0,10,1000,100,100,0.25
1,0.022035026999219554,973.5504009893936,202.0,100,0.25,1000,0,0,10,1000,100,100,0.25
2,0.03200480299892661,973.5504009893936,303.0,100,0.25,1000,0,0,10,1000,100,100,0.25
3,0.04138780099856376,971.5274881886069,405.0,100,0.25,1000,0,0,10,1000,100,100,0.25
4,0.05116444299892464,899.8987619136258,507.0,100,0.25,1000,0,0,10,1000,100,100,0.25
5,0.06039872200017271,899.8987619136258,608.0,100,0.25,1000,0,0,10,1000,100,100,0.25
6,0.06965863199911837,899.8987619136258,709.0,100,0.25,1000,0,0,10,1000,100,100,0.25
7,0.07867141199858452,814.3237766745767,811.0,100,0.25,1000,0,0,10,1000,100,100,0.25
8,0.0888981469997816,814.3237766745767,912.0,100,0.25,1000,0,0,10,1000,100,100,0.25
9,0.09842246799962595,814.3237766745767,1013.0,100,0.25,1000,0,0,10,1000,100,100,0.25
10,0.10756811600003857,814.3237766745767,1114.0,100,0.25,1000,0,0,10,1000,100,100,0.25
11,0.11692144699918572,814.3237766745767,1215.0,100,0.25,1000,0,0,10,1000,100,100,0.25
12,0.12611339499926544,814.3237766745767,1316.0,100,0.25,1000,0,0,10,1000,100,100,0.25
13,0.13529170499896281,814.3237766745767,1417.0,100,0.25,1000,0,0,10,1000,100,100,0.25
14,0.14482161900014034,814.3237766745767,1518.0,100,0.25,1000,0,0,10,1000,100,100,0.25
15,0.1543257220000669,814.3237766745767,1619.0,100,0.25,1000,0,0,10,1000,100,100,0.25
16,0.16414521600017906,814.3237766745767,1720.0,100,0.25,1000,0,0,10,1000,100,100,0.25
17,0.17403525800000352,814.3237766745767,1821.0,100,0.25,1000,0,0,10,1000,100,100,0.25
18,0.18399822099854646,802.9003041337146,1923.0,100,0.25,1000,0,0,10,1000,100,100,0.25
19,0.19401953699889418,797.2540599583264,2025.0,100,0.25,1000,0,0,10,1000,100,100,0.25
20,0.20380217999991146,797.2540599583264,2126.0,100,0.25,1000,0,0,10,1000,100,100,0.25
21,0.2134931759992469,797.2540599583264,2227.0,100,0.25,1000,0,0,10,1000,100,100,0.25
22,0.22421640299944556,797.2540599583264,2328.0,100,0.25,1000,0,0,10,1000,100,100,0.25
23,0.2340280829994299,797.2540599583264,2429.0,100,0.25,1000,0,0,10,1000,100,100,0.25
24,0.24301176599874452,797.2540599583264,2530.0,100,0.25,1000,0,0,10,1000,100,100,0.25
25,0.25326768800005084,797.2540599583264,2631.0,100,0.25,1000,0,0,10,1000,100,100,0.25
26,0.2625853889985592,797.2540599583264,2732.0,100,0.25,1000,0,0,10,1000,100,100,0.25
27,0.27259346899882075,797.2540599583264,2833.0,100,0.25,1000,0,0,10,1000,100,100,0.25
28,0.282109114999912,797.2540599583264,2934.0,100,0.25,1000,0,0,10,1000,100,100,0.25
29,0.2920006989988906,797.2540599583264,3035.0,100,0.25,1000,0,0,10,1000,100,100,0.25
30,0.301416872000118,797.2540599583264,3136.0,100,0.25,1000,0,0,10,1000,100,100,0.25
31,0.31122718899860047,797.2540599583264,3237.0,100,0.25,1000,0,0,10,1000,100,100,0.25
32,0.3205348809988209,797.2540599583264,3338.0,100,0.25,1000,0,0,10,1000,100,100,0.25
33,0.33029421899846056,797.2540599583264,3439.0,100,0.25,1000,0,0,10,1000,100,100,0.25
34,0.3397241579987167,797.2540599583264,3540.0,100,0.25,1000,0,0,10,1000,100,100,0.25
35,0.34913111199966806,797.2540599583264,3641.0,100,0.25,1000,0,0,10,1000,100,100,0.25
36,0.3586488519995328,797.2540599583264,3742.0,100,0.25,1000,0,0,10,1000,100,100,0.25
37,0.367705536998983,797.2540599583264,3843.0,100,0.25,1000,0,0,10,1000,100,100,0.25
38,0.3770018169998366,797.2540599583264,3944.0,100,0.25,1000,0,0,10,1000,100,100,0.25
39,0.3865609869990294,797.2540599583264,4045.0,100,0.25,1000,0,0,10,1000,100,100,0.25
40,0.39656210399880365,797.2540599583264,4146.0,100,0.25,1000,0,0,10,1000,100,100,0.25
