Temperature,max_iters,problem_size,t_pct,decay_type,max_attempts,run_number,group_timestamp,max_fitness,total_iterations,max_fevals,runtime
1,10000,20,0.4,exp_decay,100,0,1718941035,20.0,605,824.0,0.0364034159865696
1,10000,20,0.4,exp_decay,100,1,1718941035,20.0,605,824.0,0.0364034159865696
1,10000,20,0.4,exp_decay,100,2,1718941035,20.0,605,824.0,0.0364034159865696
1,10000,20,0.4,geom_decay,100,0,1718941037,20.0,504,704.0,0.0247090420161839
1,10000,20,0.4,geom_decay,100,1,1718941037,20.0,504,704.0,0.0247090420161839
1,10000,20,0.4,geom_decay,100,2,1718941037,20.0,504,704.0,0.0247090420161839
1,10000,20,0.4,arith_decay,100,0,1718941038,20.0,1570,1922.0,0.2089184170181397
1,10000,20,0.4,arith_decay,100,1,1718941038,20.0,1570,1922.0,0.2089184170181397
1,10000,20,0.4,arith_decay,100,2,1718941038,20.0,1570,1922.0,0.2089184170181397
10,10000,20,0.4,exp_decay,100,0,1718941039,31.0,900,1421.0,0.0727701249998062
10,10000,20,0.4,exp_decay,100,1,1718941039,31.0,900,1421.0,0.0727701249998062
10,10000,20,0.4,exp_decay,100,2,1718941039,31.0,900,1421.0,0.0727701249998062
10,10000,20,0.4,geom_decay,100,0,1718941041,20.0,499,761.0,0.0246662919817026
10,10000,20,0.4,geom_decay,100,1,1718941041,20.0,499,761.0,0.0246662919817026
10,10000,20,0.4,geom_decay,100,2,1718941041,20.0,499,761.0,0.0246662919817026
10,10000,20,0.4,arith_decay,100,0,1718941042,17.0,10000,19835.0,8.309305457980372
10,10000,20,0.4,arith_decay,100,1,1718941042,17.0,10000,19835.0,8.309305457980372
10,10000,20,0.4,arith_decay,100,2,1718941042,17.0,10000,19835.0,8.309305457980372
100,10000,20,0.4,exp_decay,100,0,1718941067,20.0,1305,2213.0,0.151128792000236
100,10000,20,0.4,exp_decay,100,1,1718941067,20.0,1305,2213.0,0.151128792000236
100,10000,20,0.4,exp_decay,100,2,1718941067,20.0,1305,2213.0,0.151128792000236
100,10000,20,0.4,geom_decay,100,0,1718941069,20.0,884,1486.0,0.0715147500159218
100,10000,20,0.4,geom_decay,100,1,1718941069,20.0,884,1486.0,0.0715147500159218
100,10000,20,0.4,geom_decay,100,2,1718941069,20.0,884,1486.0,0.0715147500159218
100,10000,20,0.4,arith_decay,100,0,1718941070,14.0,10000,19985.0,8.250889500021003
100,10000,20,0.4,arith_decay,100,1,1718941070,14.0,10000,19985.0,8.250889500021003
100,10000,20,0.4,arith_decay,100,2,1718941070,14.0,10000,19985.0,8.250889500021003
1000,10000,20,0.4,exp_decay,100,0,1718941096,20.0,1772,3165.0,0.2724945830123033
1000,10000,20,0.4,exp_decay,100,1,1718941096,20.0,1772,3165.0,0.2724945830123033
1000,10000,20,0.4,exp_decay,100,2,1718941096,20.0,1772,3165.0,0.2724945830123033
1000,10000,20,0.4,geom_decay,100,0,1718941098,31.0,909,1609.0,0.074835666018771
1000,10000,20,0.4,geom_decay,100,1,1718941098,31.0,909,1609.0,0.074835666018771
1000,10000,20,0.4,geom_decay,100,2,1718941098,31.0,909,1609.0,0.074835666018771
