Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart,group_number,run_number,problem_size,max_iterations,max_attempts,max_restarts
2,0.13776195800000002,1054.0,3.0,0,10,0,0,2,1000,10,100,0
3,0.17451754100000016,1051.0,5.0,0,10,0,0,2,1000,10,100,0
4,0.1918277500000003,1051.0,6.0,0,10,0,0,2,1000,10,100,0
5,0.22895395799999996,1050.0,8.0,0,10,0,0,2,1000,10,100,0
6,0.24568683300000016,1050.0,9.0,0,10,0,0,2,1000,10,100,0
7,0.2629737910000003,1050.0,10.0,0,10,0,0,2,1000,10,100,0
8,0.2981340000000001,1048.0,12.0,0,10,0,0,2,1000,10,100,0
9,0.3155618750000002,1048.0,13.0,0,10,0,0,2,1000,10,100,0
10,0.3338152080000003,1048.0,14.0,0,10,0,0,2,1000,10,100,0
0,0.03534679200000035,1057.0,0.0,25,1,0,1,3,1000,10,100,25
1,0.05653441699999995,1057.0,1.0,25,1,0,1,3,1000,10,100,25
1,0.05653441699999995,1018.0,3.0,25,1,1,1,3,1000,10,100,25
1,0.05653441699999995,1047.0,4.0,25,1,2,1,3,1000,10,100,25
1,0.05653441699999995,1042.0,5.0,25,1,3,1,3,1000,10,100,25
1,0.05653441699999995,1022.0,7.0,25,1,4,1,3,1000,10,100,25
1,0.05653441699999995,1034.0,8.0,25,1,5,1,3,1000,10,100,25
1,0.05653441699999995,1024.0,10.0,25,1,6,1,3,1000,10,100,25
1,0.05653441699999995,1041.0,11.0,25,1,7,1,3,1000,10,100,25
1,0.05653441699999995,1079.0,12.0,25,1,8,1,3,1000,10,100,25
1,0.05653441699999995,968.0,13.0,25,1,9,1,3,1000,10,100,25
1,0.05653441699999995,1034.0,15.0,25,1,10,1,3,1000,10,100,25
1,0.05653441699999995,1036.0,16.0,25,1,11,1,3,1000,10,100,25
1,0.05653441699999995,1075.0,17.0,25,1,12,1,3,1000,10,100,25
1,0.05653441699999995,998.0,18.0,25,1,13,1,3,1000,10,100,25
1,0.05653441699999995,1009.0,20.0,25,1,14,1,3,1000,10,100,25
1,0.05653441699999995,1020.0,21.0,25,1,15,1,3,1000,10,100,25
1,0.05653441699999995,1033.0,22.0,25,1,16,1,3,1000,10,100,25
1,0.05653441699999995,1041.0,24.0,25,1,17,1,3,1000,10,100,25
1,0.05653441699999995,1031.0,26.0,25,1,18,1,3,1000,10,100,25
1,0.05653441699999995,1078.0,27.0,25,1,19,1,3,1000,10,100,25
1,0.05653441699999995,1095.0,28.0,25,1,20,1,3,1000,10,100,25
1,0.05653441699999995,1064.0,29.0,25,1,21,1,3,1000,10,100,25
1,0.05653441699999995,1033.0,30.0,25,1,22,1,3,1000,10,100,25
1,0.05653441699999995,1008.0,31.0,25,1,23,1,3,1000,10,100,25
1,0.05653441699999995,1021.0,33.0,25,1,24,1,3,1000,10,100,25
1,0.05653441699999995,1058.0,34.0,25,1,25,1,3,1000,10,100,25
0,0.0387486250000002,1057.0,0.0,25,1,0,1,4,1000,10,100,25
1,0.06016241699999991,1057.0,1.0,25,1,0,1,4,1000,10,100,25
1,0.06016241699999991,1018.0,3.0,25,1,1,1,4,1000,10,100,25
1,0.06016241699999991,1047.0,4.0,25,1,2,1,4,1000,10,100,25
1,0.06016241699999991,1042.0,5.0,25,1,3,1,4,1000,10,100,25
1,0.06016241699999991,1022.0,7.0,25,1,4,1,4,1000,10,100,25
1,0.06016241699999991,1034.0,8.0,25,1,5,1,4,1000,10,100,25
1,0.06016241699999991,1024.0,10.0,25,1,6,1,4,1000,10,100,25
1,0.06016241699999991,1041.0,11.0,25,1,7,1,4,1000,10,100,25
1,0.06016241699999991,1079.0,12.0,25,1,8,1,4,1000,10,100,25
1,0.06016241699999991,968.0,13.0,25,1,9,1,4,1000,10,100,25
1,0.06016241699999991,1034.0,15.0,25,1,10,1,4,1000,10,100,25
1,0.06016241699999991,1036.0,16.0,25,1,11,1,4,1000,10,100,25
1,0.06016241699999991,1075.0,17.0,25,1,12,1,4,1000,10,100,25
1,0.06016241699999991,998.0,18.0,25,1,13,1,4,1000,10,100,25
1,0.06016241699999991,1009.0,20.0,25,1,14,1,4,1000,10,100,25
1,0.06016241699999991,1020.0,21.0,25,1,15,1,4,1000,10,100,25
1,0.06016241699999991,1033.0,22.0,25,1,16,1,4,1000,10,100,25
1,0.06016241699999991,1041.0,24.0,25,1,17,1,4,1000,10,100,25
1,0.06016241699999991,1031.0,26.0,25,1,18,1,4,1000,10,100,25
1,0.06016241699999991,1078.0,27.0,25,1,19,1,4,1000,10,100,25
1,0.06016241699999991,1095.0,28.0,25,1,20,1,4,1000,10,100,25
1,0.06016241699999991,1064.0,29.0,25,1,21,1,4,1000,10,100,25
1,0.06016241699999991,1033.0,30.0,25,1,22,1,4,1000,10,100,25
1,0.06016241699999991,1008.0,31.0,25,1,23,1,4,1000,10,100,25
1,0.06016241699999991,1021.0,33.0,25,1,24,1,4,1000,10,100,25
1,0.06016241699999991,1058.0,34.0,25,1,25,1,4,1000,10,100,25
0,0.03615212500000009,1057.0,0.0,25,1,0,1,5,1000,10,100,25
1,0.057305416000000164,1057.0,1.0,25,1,0,1,5,1000,10,100,25
1,0.057305416000000164,1018.0,3.0,25,1,1,1,5,1000,10,100,25
1,0.057305416000000164,1047.0,4.0,25,1,2,1,5,1000,10,100,25
1,0.057305416000000164,1042.0,5.0,25,1,3,1,5,1000,10,100,25
1,0.057305416000000164,1022.0,7.0,25,1,4,1,5,1000,10,100,25
1,0.057305416000000164,1034.0,8.0,25,1,5,1,5,1000,10,100,25
1,0.057305416000000164,1024.0,10.0,25,1,6,1,5,1000,10,100,25
1,0.057305416000000164,1041.0,11.0,25,1,7,1,5,1000,10,100,25
1,0.057305416000000164,1079.0,12.0,25,1,8,1,5,1000,10,100,25
1,0.057305416000000164,968.0,13.0,25,1,9,1,5,1000,10,100,25
1,0.057305416000000164,1034.0,15.0,25,1,10,1,5,1000,10,100,25
1,0.057305416000000164,1036.0,16.0,25,1,11,1,5,1000,10,100,25
1,0.057305416000000164,1075.0,17.0,25,1,12,1,5,1000,10,100,25
1,0.057305416000000164,998.0,18.0,25,1,13,1,5,1000,10,100,25
1,0.057305416000000164,1009.0,20.0,25,1,14,1,5,1000,10,100,25
1,0.057305416000000164,1020.0,21.0,25,1,15,1,5,1000,10,100,25
1,0.057305416000000164,1033.0,22.0,25,1,16,1,5,1000,10,100,25
1,0.057305416000000164,1041.0,24.0,25,1,17,1,5,1000,10,100,25
1,0.057305416000000164,1031.0,26.0,25,1,18,1,5,1000,10,100,25
1,0.057305416000000164,1078.0,27.0,25,1,19,1,5,1000,10,100,25
1,0.057305416000000164,1095.0,28.0,25,1,20,1,5,1000,10,100,25
1,0.057305416000000164,1064.0,29.0,25,1,21,1,5,1000,10,100,25
1,0.057305416000000164,1033.0,30.0,25,1,22,1,5,1000,10,100,25
1,0.057305416000000164,1008.0,31.0,25,1,23,1,5,1000,10,100,25
1,0.057305416000000164,1021.0,33.0,25,1,24,1,5,1000,10,100,25
1,0.057305416000000164,1058.0,34.0,25,1,25,1,5,1000,10,100,25
0,0.036378500000001424,1057.0,0.0,50,1,0,2,6,1000,10,100,50
1,0.059485375000001284,1057.0,1.0,50,1,0,2,6,1000,10,100,50
1,0.059485375000001284,1018.0,3.0,50,1,1,2,6,1000,10,100,50
1,0.059485375000001284,1047.0,4.0,50,1,2,2,6,1000,10,100,50
1,0.059485375000001284,1042.0,5.0,50,1,3,2,6,1000,10,100,50
1,0.059485375000001284,1022.0,7.0,50,1,4,2,6,1000,10,100,50
1,0.059485375000001284,1034.0,8.0,50,1,5,2,6,1000,10,100,50
1,0.059485375000001284,1024.0,10.0,50,1,6,2,6,1000,10,100,50
1,0.059485375000001284,1041.0,11.0,50,1,7,2,6,1000,10,100,50
1,0.059485375000001284,1079.0,12.0,50,1,8,2,6,1000,10,100,50
1,0.059485375000001284,968.0,13.0,50,1,9,2,6,1000,10,100,50
1,0.059485375000001284,1034.0,15.0,50,1,10,2,6,1000,10,100,50
1,0.059485375000001284,1036.0,16.0,50,1,11,2,6,1000,10,100,50
1,0.059485375000001284,1075.0,17.0,50,1,12,2,6,1000,10,100,50
1,0.059485375000001284,998.0,18.0,50,1,13,2,6,1000,10,100,50
1,0.059485375000001284,1009.0,20.0,50,1,14,2,6,1000,10,100,50
1,0.059485375000001284,1020.0,21.0,50,1,15,2,6,1000,10,100,50
1,0.059485375000001284,1033.0,22.0,50,1,16,2,6,1000,10,100,50
1,0.059485375000001284,1041.0,24.0,50,1,17,2,6,1000,10,100,50
1,0.059485375000001284,1031.0,26.0,50,1,18,2,6,1000,10,100,50
1,0.059485375000001284,1078.0,27.0,50,1,19,2,6,1000,10,100,50
1,0.059485375000001284,1095.0,28.0,50,1,20,2,6,1000,10,100,50
1,0.059485375000001284,1064.0,29.0,50,1,21,2,6,1000,10,100,50
1,0.059485375000001284,1033.0,30.0,50,1,22,2,6,1000,10,100,50
1,0.059485375000001284,1008.0,31.0,50,1,23,2,6,1000,10,100,50
1,0.059485375000001284,1021.0,33.0,50,1,24,2,6,1000,10,100,50
1,0.059485375000001284,1058.0,34.0,50,1,25,2,6,1000,10,100,50
1,0.059485375000001284,1055.0,35.0,50,1,26,2,6,1000,10,100,50
1,0.059485375000001284,1052.0,37.0,50,1,27,2,6,1000,10,100,50
1,0.059485375000001284,952.0,39.0,50,1,28,2,6,1000,10,100,50
1,0.059485375000001284,1056.0,40.0,50,1,29,2,6,1000,10,100,50
1,0.059485375000001284,1046.0,41.0,50,1,30,2,6,1000,10,100,50
1,0.059485375000001284,1092.0,42.0,50,1,31,2,6,1000,10,100,50
1,0.059485375000001284,1072.0,44.0,50,1,32,2,6,1000,10,100,50
1,0.059485375000001284,1076.0,45.0,50,1,33,2,6,1000,10,100,50
1,0.059485375000001284,1035.0,46.0,50,1,34,2,6,1000,10,100,50
1,0.059485375000001284,1077.0,48.0,50,1,35,2,6,1000,10,100,50
1,0.059485375000001284,1007.0,49.0,50,1,36,2,6,1000,10,100,50
1,0.059485375000001284,1040.0,50.0,50,1,37,2,6,1000,10,100,50
1,0.059485375000001284,1064.0,51.0,50,1,38,2,6,1000,10,100,50
1,0.059485375000001284,1003.0,52.0,50,1,39,2,6,1000,10,100,50
1,0.059485375000001284,1028.0,53.0,50,1,40,2,6,1000,10,100,50
1,0.059485375000001284,1060.0,55.0,50,1,41,2,6,1000,10,100,50
1,0.059485375000001284,1016.0,57.0,50,1,42,2,6,1000,10,100,50
1,0.059485375000001284,1014.0,58.0,50,1,43,2,6,1000,10,100,50
1,0.059485375000001284,1026.0,60.0,50,1,44,2,6,1000,10,100,50
1,0.059485375000001284,1088.0,61.0,50,1,45,2,6,1000,10,100,50
1,0.059485375000001284,1026.0,62.0,50,1,46,2,6,1000,10,100,50
1,0.059485375000001284,1075.0,64.0,50,1,47,2,6,1000,10,100,50
1,0.059485375000001284,988.0,66.0,50,1,48,2,6,1000,10,100,50
1,0.059485375000001284,1031.0,67.0,50,1,49,2,6,1000,10,100,50
1,0.059485375000001284,1000.0,69.0,50,1,50,2,6,1000,10,100,50
0,0.04069066699999979,1057.0,0.0,50,1,0,2,7,1000,10,100,50
1,0.061963916999999924,1057.0,1.0,50,1,0,2,7,1000,10,100,50
1,0.061963916999999924,1018.0,3.0,50,1,1,2,7,1000,10,100,50
1,0.061963916999999924,1047.0,4.0,50,1,2,2,7,1000,10,100,50
1,0.061963916999999924,1042.0,5.0,50,1,3,2,7,1000,10,100,50
1,0.061963916999999924,1022.0,7.0,50,1,4,2,7,1000,10,100,50
1,0.061963916999999924,1034.0,8.0,50,1,5,2,7,1000,10,100,50
1,0.061963916999999924,1024.0,10.0,50,1,6,2,7,1000,10,100,50
1,0.061963916999999924,1041.0,11.0,50,1,7,2,7,1000,10,100,50
1,0.061963916999999924,1079.0,12.0,50,1,8,2,7,1000,10,100,50
1,0.061963916999999924,968.0,13.0,50,1,9,2,7,1000,10,100,50
1,0.061963916999999924,1034.0,15.0,50,1,10,2,7,1000,10,100,50
1,0.061963916999999924,1036.0,16.0,50,1,11,2,7,1000,10,100,50
1,0.061963916999999924,1075.0,17.0,50,1,12,2,7,1000,10,100,50
1,0.061963916999999924,998.0,18.0,50,1,13,2,7,1000,10,100,50
1,0.061963916999999924,1009.0,20.0,50,1,14,2,7,1000,10,100,50
1,0.061963916999999924,1020.0,21.0,50,1,15,2,7,1000,10,100,50
1,0.061963916999999924,1033.0,22.0,50,1,16,2,7,1000,10,100,50
1,0.061963916999999924,1041.0,24.0,50,1,17,2,7,1000,10,100,50
1,0.061963916999999924,1031.0,26.0,50,1,18,2,7,1000,10,100,50
1,0.061963916999999924,1078.0,27.0,50,1,19,2,7,1000,10,100,50
1,0.061963916999999924,1095.0,28.0,50,1,20,2,7,1000,10,100,50
1,0.061963916999999924,1064.0,29.0,50,1,21,2,7,1000,10,100,50
1,0.061963916999999924,1033.0,30.0,50,1,22,2,7,1000,10,100,50
1,0.061963916999999924,1008.0,31.0,50,1,23,2,7,1000,10,100,50
1,0.061963916999999924,1021.0,33.0,50,1,24,2,7,1000,10,100,50
1,0.061963916999999924,1058.0,34.0,50,1,25,2,7,1000,10,100,50
1,0.061963916999999924,1055.0,35.0,50,1,26,2,7,1000,10,100,50
1,0.061963916999999924,1052.0,37.0,50,1,27,2,7,1000,10,100,50
1,0.061963916999999924,952.0,39.0,50,1,28,2,7,1000,10,100,50
1,0.061963916999999924,1056.0,40.0,50,1,29,2,7,1000,10,100,50
1,0.061963916999999924,1046.0,41.0,50,1,30,2,7,1000,10,100,50
1,0.061963916999999924,1092.0,42.0,50,1,31,2,7,1000,10,100,50
1,0.061963916999999924,1072.0,44.0,50,1,32,2,7,1000,10,100,50
1,0.061963916999999924,1076.0,45.0,50,1,33,2,7,1000,10,100,50
1,0.061963916999999924,1035.0,46.0,50,1,34,2,7,1000,10,100,50
1,0.061963916999999924,1077.0,48.0,50,1,35,2,7,1000,10,100,50
1,0.061963916999999924,1007.0,49.0,50,1,36,2,7,1000,10,100,50
1,0.061963916999999924,1040.0,50.0,50,1,37,2,7,1000,10,100,50
1,0.061963916999999924,1064.0,51.0,50,1,38,2,7,1000,10,100,50
1,0.061963916999999924,1003.0,52.0,50,1,39,2,7,1000,10,100,50
1,0.061963916999999924,1028.0,53.0,50,1,40,2,7,1000,10,100,50
1,0.061963916999999924,1060.0,55.0,50,1,41,2,7,1000,10,100,50
1,0.061963916999999924,1016.0,57.0,50,1,42,2,7,1000,10,100,50
1,0.061963916999999924,1014.0,58.0,50,1,43,2,7,1000,10,100,50
1,0.061963916999999924,1026.0,60.0,50,1,44,2,7,1000,10,100,50
1,0.061963916999999924,1088.0,61.0,50,1,45,2,7,1000,10,100,50
